trial index,timestamp
0,2025-06-08 20:36:54.060340
5,2025-06-08 20:37:15.547494
6,2025-06-08 20:37:31.091876
7,2025-06-08 20:37:44.573831
8,2025-06-08 20:38:07.860724
9,2025-06-08 20:38:31.012829
10,2025-06-08 20:38:56.423293
11,2025-06-08 20:39:20.151683
12,2025-06-08 20:39:52.238392
13,2025-06-08 20:40:32.489469
14,2025-06-08 20:41:07.773601
15,2025-06-08 20:41:45.269874
16,2025-06-08 20:42:17.376781
17,2025-06-08 20:42:51.830732
18,2025-06-08 20:43:32.051022
19,2025-06-08 20:44:16.071612
20,2025-06-08 20:44:46.290319
21,2025-06-08 20:45:15.664504
22,2025-06-08 20:45:49.606404
23,2025-06-08 20:46:20.406736
24,2025-06-08 20:47:04.743544
