trial index,timestamp
0,2025-06-08 20:47:04.754968
5,2025-06-08 20:47:31.150436
6,2025-06-08 20:47:46.615587
7,2025-06-08 20:48:14.707681
8,2025-06-08 20:48:49.400795
9,2025-06-08 20:49:20.459124
10,2025-06-08 20:50:04.645629
11,2025-06-08 20:50:35.632275
12,2025-06-08 20:51:10.095124
13,2025-06-08 20:51:50.331102
14,2025-06-08 20:52:39.344814
15,2025-06-08 20:53:04.922271
16,2025-06-08 20:53:37.912020
17,2025-06-08 20:54:12.415312
18,2025-06-08 20:55:11.803575
19,2025-06-08 20:55:44.803991
20,2025-06-08 20:56:57.167020
21,2025-06-08 20:57:30.973400
22,2025-06-08 20:58:32.263751
23,2025-06-08 20:59:12.334721
24,2025-06-08 21:00:22.906568
