trial_index,arm_name,trial_status,generation_method,rho_max,num_islands_DGX-B300,skew_exponent_DGX-B300,num_islands_H200,skew_exponent_H200
0,warm_start_0,RUNNING,Manual,0.004434678186357065,16,-3.539879943849117,2,2.02521554378116
1,warm_start_1,RUNNING,Manual,0.004082300121023013,22,-4.8813173672684655,64,-2.5262541569866848
2,warm_start_2,RUNNING,Manual,0.003379402738149894,18,-3.704407116877342,43,-1.2559214061005832
3,warm_start_3,RUNNING,Manual,0.0024758401352662613,20,-4.822013359360687,23,3.6731691128977744
4,warm_start_4,RUNNING,Manual,10.000040482204296,23,-0.40332446656506615,53,-2.3326020234526643
5,5_0,RUNNING,BoTorch,0.06308440326071356,1,-4.346612342144762,1,-5.0
5,5_1,RUNNING,BoTorch,0.01293587725820266,32,-4.250734373137296,1,-4.236068556321557
5,5_2,RUNNING,BoTorch,0.0041208091079166795,1,-3.9031085113852786,64,5.0
5,5_3,RUNNING,BoTorch,0.06312162606285757,1,5.0,1,5.0
5,5_4,RUNNING,BoTorch,9.999986306489957,32,5.0,64,-5.0
5,5_5,RUNNING,BoTorch,0.004467012037036533,16,-4.379818277116559,1,-5.0
5,5_6,RUNNING,BoTorch,9.999985934629354,32,-4.172600336069944,64,5.0
5,5_7,RUNNING,BoTorch,0.0038796840491269777,1,-5.0,64,5.0
6,6_0,RUNNING,BoTorch,0.0033417834839819015,11,-5.0,42,-0.6658494737266558
6,6_1,RUNNING,BoTorch,0.003864125398004662,8,-5.0,64,-5.0
6,6_2,RUNNING,BoTorch,0.06309474485778517,1,-4.48894641953143,1,5.0
6,6_3,RUNNING,BoTorch,0.06303601134859783,1,0.7285187560829735,1,-1.636877261346491
6,6_4,RUNNING,BoTorch,0.002674403361253675,22,-5.0,21,-3.0125118020114243
6,6_5,RUNNING,BoTorch,0.003855598682149886,1,5.0,64,5.0
6,6_6,RUNNING,BoTorch,0.06304035489457044,1,-0.15863358756937085,1,5.0
6,6_7,RUNNING,BoTorch,0.003915901872766322,11,-5.0,64,1.1308442252239963
7,7_0,RUNNING,BoTorch,0.004107842885667187,18,-5.0,64,-5.0
7,7_1,RUNNING,BoTorch,0.00407719502262119,7,0.6755593233043968,28,-5.0
7,7_2,RUNNING,BoTorch,0.010171340017607828,8,-1.7186499367557435,1,-5.0
7,7_3,RUNNING,BoTorch,0.006697673853129994,10,5.0,1,-5.0
7,7_4,RUNNING,BoTorch,0.0024599950628203444,7,1.1270027654576604,64,-5.0
7,7_5,RUNNING,BoTorch,0.004181579266238288,7,5.0,39,-5.0
7,7_6,RUNNING,BoTorch,0.004867494294757344,1,2.0888769501713864,37,5.0
7,7_7,RUNNING,BoTorch,0.009660216726833424,9,1.200451766957286,1,-5.0
8,8_0,RUNNING,BoTorch,0.004057108704601957,18,-5.0,64,0.023782984852385888
8,8_1,RUNNING,BoTorch,0.00275732670635363,7,5.0,64,2.0883559488735846
8,8_2,RUNNING,BoTorch,0.0023958581037982238,9,5.0,64,5.0
8,8_3,RUNNING,BoTorch,9.99991386505671,32,-5.0,64,-5.0
8,8_4,RUNNING,BoTorch,0.0038598155433874166,1,-5.0,64,0.2673220936841824
8,8_5,RUNNING,BoTorch,0.003820662128270711,17,-5.0,27,0.09129619904327385
8,8_6,RUNNING,BoTorch,0.0033844312744685345,15,-5.0,18,5.0
8,8_7,RUNNING,BoTorch,0.0026526506700204886,6,5.0,64,0.28612472605315187
9,9_0,RUNNING,BoTorch,0.0029842949459099447,12,-2.2931790629955953,56,5.0
9,9_1,RUNNING,BoTorch,0.013114424534523057,5,3.395182487311057,1,5.0
9,9_2,RUNNING,BoTorch,0.0034887755966008117,12,-2.8956322925171984,31,-5.0
9,9_3,RUNNING,BoTorch,0.0033288884742042244,28,-5.0,1,5.0
9,9_4,RUNNING,BoTorch,0.0022275579139741123,12,-1.5604290670652725,64,5.0
9,9_5,RUNNING,BoTorch,0.003936807292873649,11,-2.4656392160264766,64,5.0
9,9_6,RUNNING,BoTorch,0.0053656402999553736,14,5.0,1,5.0
9,9_7,RUNNING,BoTorch,0.0029418525730829383,12,-1.333207773703086,41,-5.0
10,10_0,RUNNING,BoTorch,0.0031512995794740974,21,-5.0,53,-5.0
10,10_1,RUNNING,BoTorch,0.013044635204194546,6,-5.0,1,5.0
10,10_2,RUNNING,BoTorch,0.003494254828384874,12,3.380702433179688,23,-5.0
10,10_3,RUNNING,BoTorch,0.005189186678457281,3,-3.934937396450147,29,5.0
10,10_4,RUNNING,BoTorch,0.005629841287171338,13,2.391077295075565,1,-5.0
10,10_5,RUNNING,BoTorch,0.013184425342841909,10,-5.0,1,-2.028047736233021
10,10_6,RUNNING,BoTorch,0.01301047107624111,32,-2.1051369957174777,1,-0.5973436517103257
10,10_7,RUNNING,BoTorch,0.003134902351073123,13,5.0,29,-5.0
11,11_0,RUNNING,BoTorch,0.0034396455189171947,24,-5.0,1,-5.0
11,11_1,RUNNING,BoTorch,0.004008307791678635,5,-1.432084208628149,64,-5.0
11,11_2,RUNNING,BoTorch,0.005720167043902509,1,5.0,33,5.0
11,11_3,RUNNING,BoTorch,0.01323786123975178,32,-3.15905388070894,1,-5.0
11,11_4,RUNNING,BoTorch,0.00404507471770371,1,0.48617593519436947,64,-5.0
11,11_5,RUNNING,BoTorch,0.015788148407069918,4,-0.16751771972183785,1,-5.0
11,11_6,RUNNING,BoTorch,0.0054864150939786015,2,4.044206981930893,29,5.0
11,11_7,RUNNING,BoTorch,0.004134965391287628,3,-0.5493292070636626,64,-4.906132027545533
12,12_0,RUNNING,BoTorch,0.0030352327642511985,16,-3.6579510654596437,64,-5.0
12,12_1,RUNNING,BoTorch,0.0030494988549510183,16,-3.603307930138328,30,-5.0
12,12_2,RUNNING,BoTorch,0.0058324259217366415,1,-5.0,33,-5.0
12,12_3,RUNNING,BoTorch,0.015840235874478407,4,5.0,1,-5.0
12,12_4,RUNNING,BoTorch,0.005364564508273848,1,-1.566072618775775,37,-5.0
12,12_5,RUNNING,BoTorch,0.0021761475702288765,14,5.0,64,-5.0
12,12_6,RUNNING,BoTorch,0.0038351427532552504,3,-5.0,64,-5.0
12,12_7,RUNNING,BoTorch,0.003749009535048344,12,5.0,17,5.0
13,13_0,RUNNING,BoTorch,0.005743336293766549,12,3.5140357817277517,1,-5.0
13,13_1,RUNNING,BoTorch,0.0022993836650113952,11,2.398246496201817,64,5.0
13,13_2,RUNNING,BoTorch,0.0060037295084536795,12,-1.5093704703659023,1,5.0
13,13_3,RUNNING,BoTorch,0.004030188749016286,3,2.815512077313544,64,-5.0
13,13_4,RUNNING,BoTorch,0.0024731864614616255,9,-0.3998228363981216,60,5.0
13,13_5,RUNNING,BoTorch,0.003902939869026423,8,-3.2841727545461583,27,5.0
13,13_6,RUNNING,BoTorch,0.004064288905888461,20,-4.309527835856922,64,5.0
13,13_7,RUNNING,BoTorch,0.0022010900972357014,13,2.9856766223648803,64,-5.0
14,14_0,RUNNING,BoTorch,0.003969156550939317,16,-5.0,64,-2.324621703117688
14,14_1,RUNNING,BoTorch,0.01147147561858166,6,-2.606608633032556,3,2.3100474574004646
14,14_2,RUNNING,BoTorch,0.00332697745700736,23,-1.4581233693540174,1,5.0
14,14_3,RUNNING,BoTorch,0.012961871486283395,32,-5.0,1,0.9172427443203811
14,14_4,RUNNING,BoTorch,0.0050715198935850315,14,5.0,1,2.2220865056014376
14,14_5,RUNNING,BoTorch,0.0025460397154690832,16,-5.0,47,-2.6265162138273253
14,14_6,RUNNING,BoTorch,0.004004765836487545,3,-5.0,64,2.692612170248921
14,14_7,RUNNING,BoTorch,0.004066995972788807,15,-5.0,64,-2.6741078088091053
15,15_0,RUNNING,BoTorch,0.0032639604973334476,24,-3.14183296590473,1,-5.0
15,15_1,RUNNING,BoTorch,0.004161593413159777,21,-2.5214259893533804,1,-5.0
15,15_2,RUNNING,BoTorch,0.003614300981153325,20,5.0,1,-4.870816604522493
15,15_3,RUNNING,BoTorch,0.0054023913409807205,26,-2.964683561765596,1,-1.22390591371916
15,15_4,RUNNING,BoTorch,0.005674885104705204,19,-0.702858136165809,1,-5.0
15,15_5,RUNNING,BoTorch,0.004373468458356911,18,3.0573848533507677,1,-0.07043999056799136
15,15_6,RUNNING,BoTorch,0.00347237026814208,20,3.4644806494759233,45,2.0874526781050853
15,15_7,RUNNING,BoTorch,0.005794586517661873,22,5.0,1,3.5136870512594953
16,16_0,RUNNING,BoTorch,0.0021396999826835132,20,4.686182582293384,35,3.6053909607084016
16,16_1,RUNNING,BoTorch,0.002505413795052334,19,4.244922525894938,34,5.0
16,16_2,RUNNING,BoTorch,0.002012572738041596,20,5.0,44,4.184135868908667
16,16_3,RUNNING,BoTorch,0.013231874433356296,26,2.1369754391461453,1,-4.586443969359207
16,16_4,RUNNING,BoTorch,0.0025575674129605206,20,4.682004900820602,57,4.10766627749653
16,16_5,RUNNING,BoTorch,0.0022442364177184767,21,5.0,36,5.0
16,16_6,RUNNING,BoTorch,0.013049427474338527,30,2.307002988884968,1,-2.039716692744301
16,16_7,RUNNING,BoTorch,0.0024790235319639537,20,4.400794294950133,28,-4.580322936026169
17,17_0,RUNNING,BoTorch,0.0022069610638934915,14,3.928538627503165,50,-5.0
17,17_1,RUNNING,BoTorch,0.002348702078074542,13,-3.129363244788702,53,-5.0
17,17_2,RUNNING,BoTorch,0.002063373798901041,17,4.459201775379822,48,-5.0
17,17_3,RUNNING,BoTorch,0.003249707077741323,5,4.665999272598081,49,-2.977893037916965
17,17_4,RUNNING,BoTorch,0.003872139138418166,11,5.0,17,-0.247292675740452
17,17_5,RUNNING,BoTorch,0.002429928940706059,12,-1.237538039835986,50,-5.0
