trial index,timestamp
0,2025-06-05 22:37:32.324290
5,2025-06-05 22:38:12.988396
6,2025-06-05 22:38:37.402078
7,2025-06-05 22:39:04.466563
8,2025-06-05 22:39:42.394923
9,2025-06-05 22:40:17.230231
10,2025-06-05 22:42:01.446313
11,2025-06-05 22:43:17.100171
12,2025-06-05 22:44:24.872188
13,2025-06-05 22:45:04.435707
14,2025-06-05 22:45:28.556107
15,2025-06-05 22:46:04.229636
16,2025-06-05 22:46:38.615791
17,2025-06-05 22:47:18.629399
18,2025-06-05 22:48:20.410416
19,2025-06-05 22:49:09.127898
20,2025-06-05 22:49:44.107028
21,2025-06-05 22:50:18.183920
22,2025-06-05 22:50:52.594089
23,2025-06-05 22:51:23.607564
24,2025-06-05 22:52:00.904045
