trial index,timestamp
0,2025-06-05 23:42:36.489940
5,2025-06-05 23:43:08.459439
6,2025-06-05 23:43:30.936983
7,2025-06-05 23:44:03.756498
8,2025-06-05 23:44:37.631746
9,2025-06-05 23:45:05.168455
10,2025-06-05 23:45:33.596552
11,2025-06-05 23:46:13.300498
12,2025-06-05 23:46:51.522391
13,2025-06-05 23:47:36.889830
14,2025-06-05 23:48:18.022402
15,2025-06-05 23:49:08.702525
16,2025-06-05 23:49:57.580706
17,2025-06-05 23:50:51.118900
18,2025-06-05 23:51:50.351290
19,2025-06-05 23:53:01.923597
20,2025-06-05 23:53:59.985552
21,2025-06-05 23:55:11.404354
22,2025-06-05 23:56:25.490830
23,2025-06-05 23:57:31.548425
24,2025-06-05 23:58:50.808251
