trial index,timestamp
0,2025-06-06 00:38:31.043289
5,2025-06-06 00:39:01.435117
6,2025-06-06 00:39:17.988375
7,2025-06-06 00:39:59.446807
8,2025-06-06 00:40:32.530455
9,2025-06-06 00:40:56.020877
10,2025-06-06 00:41:49.737025
11,2025-06-06 00:43:27.439479
12,2025-06-06 00:44:13.054799
13,2025-06-06 00:47:30.074641
14,2025-06-06 00:48:09.162466
15,2025-06-06 00:48:39.362584
16,2025-06-06 00:49:15.537610
17,2025-06-06 00:49:51.735542
18,2025-06-06 00:50:38.288998
19,2025-06-06 00:51:31.966330
20,2025-06-06 00:52:21.020646
21,2025-06-06 00:52:55.588559
22,2025-06-06 00:53:20.853817
23,2025-06-06 00:54:54.725263
24,2025-06-06 00:55:49.816222
