trial_index,arm_name,trial_status,generation_method,rho_max,count_DGX-B300_0,count_DGX-B300_1,count_DGX-B300_2,count_DGX-B300_3,count_DGX-B300_4,count_DGX-B300_5,count_DGX-B300_6,count_DGX-B300_7,count_DGX-B300_8,count_DGX-B300_9,count_DGX-B300_10,count_DGX-B300_11,count_DGX-B300_12,count_DGX-B300_13,count_DGX-B300_14,count_DGX-B300_15,count_H200_0,count_H200_1,count_H200_2,count_H200_3,count_H200_4,count_H200_5,count_H200_6,count_H200_7,count_H200_8,count_H200_9,count_H200_10,count_H200_11,count_H200_12,count_H200_13,count_H200_14,count_H200_15
0,warm_start_0,RUNNING,Manual,0.013938845592425237,69,12,19,26,1,1,0,0,0,0,0,0,0,0,0,0,123,127,2,4,0,0,0,0,0,0,0,0,0,0,0,0
1,warm_start_1,RUNNING,Manual,0.009250260003201161,62,38,22,2,3,1,0,0,0,0,0,0,0,0,0,0,38,104,26,67,5,13,3,0,0,0,0,0,0,0,0,0
2,warm_start_2,RUNNING,Manual,0.007454759722831824,104,7,10,5,1,0,1,0,0,0,0,0,0,0,0,0,63,94,2,19,17,19,7,14,4,4,5,4,0,1,1,2
3,warm_start_3,RUNNING,Manual,0.01962742260189142,127,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,79,94,61,11,7,4,0,0,0,0,0,0,0,0,0,0
4,warm_start_4,RUNNING,Manual,0.013835395979175933,70,30,25,2,1,0,0,0,0,0,0,0,0,0,0,0,114,72,62,5,3,0,0,0,0,0,0,0,0,0,0,0
5,5_0,RUNNING,BoTorch,0.0077892967957785145,93,19,13,0,1,0,0,1,0,0,0,0,0,0,0,0,27,80,0,40,22,28,10,19,5,6,6,6,1,1,2,2
5,5_1,RUNNING,BoTorch,0.022137482017353986,93,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,48,0,1,0,0,0,0,0,0,0,183,0,0,0,0,23
5,5_2,RUNNING,BoTorch,0.016373541865274642,90,0,0,0,0,1,0,0,0,0,0,2,0,32,0,0,47,0,1,0,0,0,0,208,0,0,0,0,0,0,0,0
5,5_3,RUNNING,BoTorch,0.0036177903355066004,4,22,3,5,5,17,3,10,1,4,3,3,12,1,21,14,34,30,2,24,2,26,22,5,7,19,1,10,8,26,4,14
5,5_4,RUNNING,BoTorch,0.011093472721154374,76,0,0,0,0,0,27,0,7,0,3,15,0,0,0,0,44,29,0,0,43,10,2,0,2,1,0,0,62,0,63,0
5,5_5,RUNNING,BoTorch,0.004473966258781209,0,10,39,2,3,0,15,2,3,4,15,0,6,16,9,3,53,0,52,1,23,13,3,15,6,0,0,10,40,4,25,9
5,5_6,RUNNING,BoTorch,9.999942426522903,1,0,9,4,0,0,10,1,32,44,5,0,8,0,4,11,0,1,26,11,23,4,49,2,1,4,22,0,87,10,9,1
5,5_7,RUNNING,BoTorch,10.000077845634344,43,3,0,31,0,0,0,0,26,1,0,0,3,22,0,0,27,17,0,1,23,12,31,26,3,7,14,22,31,0,15,10
6,6_0,RUNNING,BoTorch,9.999963054368516,0,8,40,6,0,7,4,5,0,2,12,0,12,0,23,10,31,36,26,0,25,47,24,0,8,12,0,16,11,19,1,1
6,6_1,RUNNING,BoTorch,9.999890228350587,0,88,0,4,0,19,6,6,0,4,0,0,0,0,0,2,61,25,26,5,0,0,0,0,3,38,0,1,14,26,9,48
6,6_2,RUNNING,BoTorch,9.999873082963195,0,0,0,3,0,0,0,3,0,3,0,0,3,0,74,43,35,27,25,81,0,0,29,0,23,0,0,0,34,0,1,0
6,6_3,RUNNING,BoTorch,0.0065520877718911325,0,0,1,4,0,13,1,10,0,4,9,0,86,0,0,0,35,32,22,2,0,2,9,0,5,0,0,55,28,26,20,20
6,6_4,RUNNING,BoTorch,0.00696883609408713,0,0,26,5,0,0,3,87,1,1,4,1,0,0,0,0,24,28,22,67,3,70,4,0,0,3,0,0,16,16,1,1
