trial index,timestamp
0,2025-06-05 09:54:56.696806
5,2025-06-05 09:55:14.389758
6,2025-06-05 09:55:20.404601
7,2025-06-05 09:55:28.294954
8,2025-06-05 09:55:31.481051
9,2025-06-05 09:55:39.663824
10,2025-06-05 09:55:42.182518
11,2025-06-05 09:55:47.605155
12,2025-06-05 09:56:24.659011
13,2025-06-05 09:56:27.624426
14,2025-06-05 09:56:33.828281
15,2025-06-05 09:56:38.672249
16,2025-06-05 09:56:43.288353
17,2025-06-05 09:56:55.463356
18,2025-06-05 09:57:01.951823
19,2025-06-05 09:57:10.313446
20,2025-06-05 09:57:17.917625
21,2025-06-05 09:57:25.267779
22,2025-06-05 09:57:29.754203
23,2025-06-05 09:57:36.364041
24,2025-06-05 09:57:42.615268
