trial_index,arm_name,trial_status,generation_method,rho_max,num_islands_DGX-B300,skew_exponent_DGX-B300,num_islands_H200,skew_exponent_H200
0,warm_start_0,RUNNING,Manual,0.00709678422696106,7,1.0824026085532443,8,4.06507134214565
1,warm_start_1,RUNNING,Manual,10.000153758047848,63,2.9480426408633784,49,0.3390080045131585
2,warm_start_2,RUNNING,Manual,0.00327454220585927,25,1.3439680506196598,86,-2.5622387844786365
3,warm_start_3,RUNNING,Manual,9.999911300140214,58,3.861111173225403,42,0.30602933605637084
4,warm_start_4,RUNNING,Manual,0.013203797991808609,64,-0.8256089481926479,1,4.49004979062596
5,5_0,RUNNING,BoTorch,0.002016058123076842,6,0.2695584765440035,107,-4.066491597243396
5,5_1,RUNNING,BoTorch,0.0041264512714511165,1,5.0,128,5.0
6,6_0,RUNNING,BoTorch,0.013067727532612452,64,-5.0,1,-3.3429644326397336
6,6_1,RUNNING,BoTorch,0.0038271584414568526,1,5.0,128,-3.2083065149329792
7,7_0,RUNNING,BoTorch,0.013202012019556824,64,5.0,1,-5.0
7,7_1,RUNNING,BoTorch,0.0038431381456885904,1,-5.0,128,-3.00618717905031
8,8_0,RUNNING,BoTorch,0.003868338259263773,1,-5.0,128,-5.0
8,8_1,RUNNING,BoTorch,0.003923727374288811,1,-5.0,128,4.3510164364186155
9,9_0,RUNNING,BoTorch,0.0630731938309811,1,-5.0,1,-5.0
9,9_1,RUNNING,BoTorch,0.013638377049082679,64,-2.903800067144763,99,-5.0
10,10_0,RUNNING,BoTorch,9.999961688105808,64,5.0,128,-4.607925789933952
10,10_1,RUNNING,BoTorch,10.00015010023657,64,-5.0,128,3.3391502134286433
11,11_0,RUNNING,BoTorch,0.0031372053448948784,48,-5.0,57,-5.0
11,11_1,RUNNING,BoTorch,0.0024442232132934312,3,2.379768027255652,82,0.5993171908697691
12,12_0,RUNNING,BoTorch,0.013301550153797869,64,-5.0,60,-5.0
12,12_1,RUNNING,BoTorch,0.003457827392186556,22,2.9698965300650335,1,-5.0
13,13_0,RUNNING,BoTorch,0.013067523472974463,55,-0.45029924779425917,1,-5.0
13,13_1,RUNNING,BoTorch,0.003317118998839744,15,-3.834427811735386,21,-0.594873558269005
14,14_0,RUNNING,BoTorch,0.004041473381176772,34,-4.42794189424127,128,-5.0
14,14_1,RUNNING,BoTorch,0.0031571746012438564,46,-5.0,1,5.0
15,15_0,RUNNING,BoTorch,0.003103921642840625,1,0.4054385713011075,74,-2.040860610827403
15,15_1,RUNNING,BoTorch,0.0039906335736844606,1,2.0222835055823065,128,-0.9525615134054035
16,16_0,RUNNING,BoTorch,0.002088669532720413,24,-1.5185861672523704,62,-5.0
16,16_1,RUNNING,BoTorch,0.010344589328865242,1,-5.0,22,5.0
17,17_0,RUNNING,BoTorch,0.003939668290855722,1,-0.5065553418665428,84,5.0
17,17_1,RUNNING,BoTorch,0.002997369594176148,30,-1.3534106845553888,1,5.0
18,18_0,RUNNING,BoTorch,0.00265112387624162,23,-3.568845610877736,79,-2.8636236480361816
18,18_1,RUNNING,BoTorch,10.000101624661951,64,-5.0,128,-5.0
19,19_0,RUNNING,BoTorch,0.004118251573232922,19,-5.0,128,-5.0
19,19_1,RUNNING,BoTorch,0.003280667699050545,19,-4.085689913219395,120,-3.9666507361240355
20,20_0,RUNNING,BoTorch,0.0033052473405162093,52,-3.0782912768225708,66,-2.0463866473193764
20,20_1,RUNNING,BoTorch,0.01340281431963884,64,-4.307530167692345,72,-3.3661140458853724
21,21_0,RUNNING,BoTorch,0.013482128281702348,64,-3.353413628113321,84,-3.5244559532740567
21,21_1,RUNNING,BoTorch,0.013858272067379305,37,3.312833100305308,105,-3.071349669409804
22,22_0,RUNNING,BoTorch,0.003958045277660465,41,-2.6712036024430548,60,2.6032298537661975
22,22_1,RUNNING,BoTorch,0.004866007408537027,64,-3.7155255876180258,14,-2.746990448198639
23,23_0,RUNNING,BoTorch,0.004010824133447282,1,-4.933517040589761,61,-2.6055452850873095
23,23_1,RUNNING,BoTorch,0.00231189942173629,16,-1.3582218835014443,53,2.0716974046128116
24,24_0,RUNNING,BoTorch,0.013386103734189874,62,-5.0,64,-5.0
24,24_1,RUNNING,BoTorch,0.004106420324583963,6,-4.935781032535542,35,-2.6433319667867115
