trial_index,arm_name,trial_status,generation_method,rho_max,num_islands_H200,skew_exponent_H200,num_islands_H800,skew_exponent_H800,num_islands_H20,skew_exponent_H20
0,warm_start_0,RUNNING,Manual,0.020698010135151677,9,3.00141989430017,20,0.41304613061862305,29,-2.8173797125010847
1,warm_start_1,RUNNING,Manual,0.009531607473971028,28,1.4438452878388972,26,-3.2162257993295205,2,1.6157531701012298
2,warm_start_2,RUNNING,Manual,0.02039418821989007,31,-2.130856983643916,1,-4.456231140148862,20,-2.827958380607123
3,warm_start_3,RUNNING,Manual,0.008564424704478265,7,-4.200792290318319,31,-3.835190550557689,14,1.4926405153345703
4,warm_start_4,RUNNING,Manual,0.015498814300478206,15,-2.9202533487106344,6,2.010288709245569,7,1.7204683603205284
5,5_0,RUNNING,BoTorch,10.000005540258408,8,0.031841841003243644,32,-5.0,19,2.728510350925624
5,5_1,RUNNING,BoTorch,0.020207104192810774,32,-5.0,32,-5.0,1,0.8332718382204873
5,5_10,RUNNING,BoTorch,0.008185627531486977,31,-5.0,18,-5.0,48,2.2882947647951615
5,5_11,RUNNING,BoTorch,0.006768365793287558,21,-5.0,32,2.8005115979629824,1,2.6354720474282263
5,5_12,RUNNING,BoTorch,10.00004015344481,32,-5.0,32,-1.1527910064627718,43,3.9584501869604107
5,5_13,RUNNING,BoTorch,0.036380045491259644,32,-5.0,27,-3.870435924193344,15,2.02381259006385
5,5_14,RUNNING,BoTorch,0.007298855134435208,7,-1.7629749299007624,32,0.52432253579205,51,1.0296438893462072
5,5_15,RUNNING,BoTorch,0.011523336052914883,1,5.0,18,-5.0,58,1.2826315792931668
5,5_2,RUNNING,BoTorch,0.008860962986792755,1,5.0,32,-5.0,35,1.2155560759488937
5,5_3,RUNNING,BoTorch,10.000001110507194,32,-5.0,32,-2.733561393425567,43,2.195957804834861
5,5_4,RUNNING,BoTorch,0.011412237482623277,1,-5.0,32,-5.0,1,2.438738354971645
5,5_5,RUNNING,BoTorch,0.011220453245785068,1,3.6927164519997007,32,-0.702727624538589,1,1.2632315678272383
5,5_6,RUNNING,BoTorch,0.011206321964852235,1,3.185008036427819,32,-5.0,1,0.7024064520301375
5,5_7,RUNNING,BoTorch,10.000143482005207,32,-1.8712490784437532,32,-5.0,46,0.7780490990836438
5,5_8,RUNNING,BoTorch,0.020323419321975723,32,-5.0,32,-5.0,1,3.0162271071411006
5,5_9,RUNNING,BoTorch,0.008799732672177698,1,5.0,32,-2.2447944195702028,35,2.8102130853136105
6,6_0,RUNNING,BoTorch,0.00888110389056197,32,-5.0,20,-2.6824370260427757,13,-0.8310914141249812
6,6_1,RUNNING,BoTorch,0.0076144106141409745,15,-4.003405277196367,18,-0.19967828155229989,51,2.00348340405933
6,6_10,RUNNING,BoTorch,10.00022453823821,28,2.255015307013941,8,-1.0708214738747206,62,3.773062730290954
6,6_11,RUNNING,BoTorch,0.008886524000119989,1,0.9859554949215629,28,-1.5363584361055818,62,-0.25859755700598175
6,6_12,RUNNING,BoTorch,0.008086678856509199,22,0.9523582541565238,24,-0.44253413263632413,8,4.7151461763963205
6,6_13,RUNNING,BoTorch,0.02516623087613502,14,-2.269101595649733,1,-4.91754085350469,11,3.9294842984177096
6,6_14,RUNNING,BoTorch,0.03306179623714829,2,3.904701071600101,1,2.620240720741132,43,-4.850872012151791
6,6_15,RUNNING,BoTorch,0.007281807434978545,25,-2.0091407645470696,20,1.983692722387207,54,3.3952317598632216
6,6_2,RUNNING,BoTorch,9.999944932366262,32,-5.0,6,-1.6749571552281488,47,3.643340956800475
6,6_3,RUNNING,BoTorch,9.999816090730425,20,0.9825155443134033,32,-4.587303526781472,55,-0.20140135237786086
6,6_4,RUNNING,BoTorch,0.06911438440162761,25,0.491608778975833,9,-1.263464903593883,15,-0.6423828678753731
6,6_5,RUNNING,BoTorch,10.000052034461472,28,4.552221512833727,16,4.318759878135914,34,1.2957602915681083
6,6_6,RUNNING,BoTorch,0.009683446333023362,17,5.0,7,-1.293279838880775,50,-1.7936410004638241
6,6_7,RUNNING,BoTorch,0.02266583850189684,5,0.5944185536214881,4,4.838045892266227,25,-3.1620585878438785
6,6_8,RUNNING,BoTorch,0.016747847073999258,13,-5.0,32,2.827428705110769,31,-1.5841166149162504
6,6_9,RUNNING,BoTorch,0.026009337803879425,8,-0.9791866910092412,3,-0.12109105528522067,2,2.184560470635009
7,7_0,RUNNING,BoTorch,0.0078009989751532385,2,-3.0116013070340664,31,3.6084876298154125,57,-0.12515394803743943
7,7_1,RUNNING,BoTorch,9.999968537176295,5,5.0,8,-4.7131090301051195,46,-4.282755867367755
7,7_10,RUNNING,BoTorch,0.020074837484141756,10,1.121853130160066,16,-0.8638730053757799,1,-0.49031747441039225
7,7_11,RUNNING,BoTorch,10.00021118661925,7,-0.05111037726489612,14,-3.6987972429709193,26,-3.933157453489573
7,7_12,RUNNING,BoTorch,0.01113509304612028,1,1.244559894307906,19,3.9774500692814985,51,-3.9289731043679526
7,7_13,RUNNING,BoTorch,0.01470411047772383,4,5.0,7,5.0,64,-4.6013862227123905
7,7_14,RUNNING,BoTorch,0.02055086655060655,16,-1.2078741232599841,16,1.5870178616696362,26,-4.487036058762895
7,7_15,RUNNING,BoTorch,0.017490192869072718,18,2.658595128549142,1,-4.780661723639603,18,2.7617267914404486
7,7_2,RUNNING,BoTorch,0.011886016925365322,26,-0.611475807536444,3,1.982656177785366,1,4.427157252792263
7,7_3,RUNNING,BoTorch,0.008305647223367327,22,-1.8378192560729552,18,-4.655289599958009,21,-3.207172574130418
