trial_index,arm_name,trial_status,generation_method,rho_max,num_islands_H200,skew_exponent_H200,num_islands_H800,skew_exponent_H800,num_islands_H20,skew_exponent_H20
0,warm_start_0,RUNNING,Manual,0.03474414589177787,23,0.048719399800508434,16,2.4844693601984957,11,0.09699057176735515
1,warm_start_1,RUNNING,Manual,0.05931820287021421,28,1.4874228784964725,6,-1.2871832481806988,35,-4.124623748577331
2,warm_start_2,RUNNING,Manual,9.999866428162251,7,-0.24944698954795896,13,1.0498955279166733,57,-4.901052316180849
3,warm_start_3,RUNNING,Manual,0.008872781796241134,13,3.5438241904944405,15,-2.0044665007907336,45,-0.20144864702529475
4,warm_start_4,RUNNING,Manual,0.014310535719374868,3,1.5675971351707254,18,0.46510108257753036,15,3.8743497055229152
5,5_0,RUNNING,BoTorch,10.000050953892256,24,3.4472741291691222,11,-2.305128214823625,28,-0.11618996332259936
5,5_1,RUNNING,BoTorch,9.99999385369016,13,2.9568504396442195,24,0.9773803990034572,34,2.4293925704441843
5,5_10,RUNNING,BoTorch,0.007850249827551822,3,5.0,31,-3.372408836296379,46,1.889829484148927
5,5_11,RUNNING,BoTorch,0.013400802278033636,21,3.9103702918957315,4,-3.4261869712904693,1,-1.0369579793283423
5,5_12,RUNNING,BoTorch,10.000012367924661,29,-1.7370221309161882,7,-1.9976665423242592,52,0.056209048087325277
5,5_13,RUNNING,BoTorch,0.02015511873499547,8,5.0,28,-3.9895362778175794,1,-0.10862602598666993
5,5_14,RUNNING,BoTorch,0.02017207832219044,27,4.4166236957123335,1,4.5689480843376735,3,-2.6964714353601233
5,5_15,RUNNING,BoTorch,0.02008333924796438,16,5.0,9,0.871114489243925,1,-1.6630741417197508
5,5_2,RUNNING,BoTorch,0.01783274561211849,5,4.058961000305856,8,-4.685361598006783,30,1.9968533753613507
5,5_3,RUNNING,BoTorch,0.011777326070633587,32,-1.2087288167071124,7,2.7521718645814772,1,-3.176034634391983
5,5_4,RUNNING,BoTorch,0.01138684304852575,13,-1.8068181430109145,13,-2.2358662384430663,13,2.1218533766053915
5,5_5,RUNNING,BoTorch,10.000172709570096,27,4.489658273024334,18,2.7116979842685307,52,-1.280907768059859
5,5_6,RUNNING,BoTorch,0.020048967774641,12,5.0,10,2.554230145223079,1,0.7904785650141924
