trial_index,arm_name,trial_status,generation_method,rho_max,count_DGX-B300_0,count_DGX-B300_1,count_DGX-B300_2,count_DGX-B300_3,count_DGX-B300_4,count_DGX-B300_5,count_DGX-B300_6,count_DGX-B300_7,count_DGX-B300_8,count_DGX-B300_9,count_DGX-B300_10,count_DGX-B300_11,count_DGX-B300_12,count_DGX-B300_13,count_DGX-B300_14,count_DGX-B300_15,count_H200_0,count_H200_1,count_H200_2,count_H200_3,count_H200_4,count_H200_5,count_H200_6,count_H200_7,count_H200_8,count_H200_9,count_H200_10,count_H200_11,count_H200_12,count_H200_13,count_H200_14,count_H200_15
0,warm_start_0,RUNNING,Manual,0.013869038481542698,48,47,10,18,2,3,0,0,0,0,0,0,0,0,0,0,89,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,warm_start_1,RUNNING,Manual,0.00815490049713147,63,8,11,0,4,17,2,12,11,0,0,0,0,0,0,0,49,128,73,6,0,0,0,0,0,0,0,0,0,0,0,0
2,warm_start_2,RUNNING,Manual,0.013870122842377068,95,14,6,0,0,1,4,0,7,0,0,0,1,0,0,0,98,143,1,1,8,5,0,0,0,0,0,0,0,0,0,0
3,warm_start_3,RUNNING,Manual,0.010600312707119166,0,26,10,69,20,0,1,2,0,0,0,0,0,0,0,0,10,48,191,4,2,0,0,1,0,0,0,0,0,0,0,0
4,warm_start_4,RUNNING,Manual,0.010619855460488587,42,51,33,2,0,0,0,0,0,0,0,0,0,0,0,0,20,48,3,13,129,34,5,2,0,1,1,0,0,0,0,0
5,5_0,RUNNING,BoTorch,0.014804667834695738,0,0,3,0,0,3,0,35,87,0,0,0,0,0,0,0,0,63,99,0,0,0,0,0,0,0,94,0,0,0,0,0
5,5_1,RUNNING,BoTorch,0.047625255156126284,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,91,0,165,0,0,0,0,0,0,0,0,0,0,0
5,5_2,RUNNING,BoTorch,0.023943984735129875,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,95,0,104,102,0,0,50,0,0,0,0,0,0,0,0,0,0
5,5_3,RUNNING,BoTorch,0.04067338241091309,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,190,0,1,0,0,0
5,5_4,RUNNING,BoTorch,9.999906873096208,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,91,0,0,0,0,0,0,0,0,0,154,0,0,0
5,5_5,RUNNING,BoTorch,0.00443924948355689,2,7,3,0,0,3,28,2,4,0,2,30,3,8,11,22,0,1,38,16,1,2,4,57,44,19,3,20,7,1,13,27
5,5_6,RUNNING,BoTorch,0.003598982523779252,4,10,2,8,8,4,3,27,8,6,3,6,14,16,3,4,6,11,31,2,34,1,4,22,2,22,3,85,7,12,1,0
5,5_7,RUNNING,BoTorch,10.00007996072775,3,1,10,1,5,1,8,36,1,5,1,1,20,33,2,2,24,4,53,6,0,5,1,78,1,2,2,12,21,3,8,26
6,6_0,RUNNING,BoTorch,10.000080036069198,0,0,48,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,45,1,50,0,60,33,0,0,0
6,6_1,RUNNING,BoTorch,0.014429129707466681,0,0,0,0,0,24,11,0,0,0,64,0,29,0,0,0,0,0,0,0,0,0,0,198,15,0,0,43,0,0,0,0
6,6_2,RUNNING,BoTorch,0.01975634795241082,0,0,0,0,0,50,13,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,0,0,37,0,0,0,0
6,6_3,RUNNING,BoTorch,0.019033728938871928,0,0,111,0,0,0,17,0,0,0,0,0,0,0,0,0,0,53,3,0,0,0,0,28,0,99,0,73,0,0,0,0
6,6_4,RUNNING,BoTorch,0.019822247446091276,0,1,0,0,0,58,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,2,0,167,0
6,6_5,RUNNING,BoTorch,10.000178630403216,0,62,0,0,0,13,24,0,0,3,0,0,27,0,0,0,0,0,20,16,0,0,0,0,2,73,0,2,140,2,0,0
6,6_6,RUNNING,BoTorch,0.013934979144388007,3,6,3,5,0,47,2,0,1,0,0,1,0,58,0,0,0,0,0,0,0,0,112,35,0,109,0,0,0,0,0,0
6,6_7,RUNNING,BoTorch,0.0043114959039146005,6,1,2,14,2,3,1,0,15,2,2,2,41,2,4,2,28,3,8,7,28,7,4,30,69,1,0,5,18,14,3,24
7,7_0,RUNNING,BoTorch,10.000114118885142,18,11,0,0,0,0,0,39,0,0,0,24,1,0,25,11,0,0,14,78,0,0,0,0,40,12,0,14,15,9,0,74
7,7_1,RUNNING,BoTorch,0.007674636535190765,35,10,0,0,0,0,0,0,31,0,0,14,14,0,8,16,0,0,128,0,0,0,0,0,25,14,0,47,38,1,0,3
7,7_2,RUNNING,BoTorch,10.000250677969154,0,0,0,0,0,0,0,87,0,0,0,0,0,0,41,0,0,0,0,109,0,0,0,0,0,0,0,0,0,80,0,68
7,7_3,RUNNING,BoTorch,10.00016358786949,1,14,0,0,0,0,0,0,0,82,0,0,0,0,14,18,0,0,0,20,0,0,0,0,52,45,0,3,5,27,0,104
7,7_4,RUNNING,BoTorch,0.012286161627079979,0,9,0,0,0,0,0,0,30,0,0,83,0,0,6,0,0,0,6,0,25,0,0,0,1,12,0,7,0,26,0,178
7,7_5,RUNNING,BoTorch,0.018417093903539038,0,16,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,70,0,0,0,0,69,18,0,26,73,0,0,0
7,7_6,RUNNING,BoTorch,0.007340898342813164,39,0,0,0,5,0,0,26,0,0,0,1,13,5,16,22,0,0,41,15,47,0,0,0,2,0,0,0,19,99,0,32
7,7_7,RUNNING,BoTorch,0.004138142044053646,11,8,20,3,0,2,3,5,8,1,2,21,4,2,35,0,39,1,20,9,31,4,13,12,2,17,35,30,7,12,1,10
8,8_0,RUNNING,BoTorch,10.000139291849644,11,14,0,14,0,4,0,21,0,8,0,31,0,11,16,0,23,0,31,9,15,0,0,63,47,0,10,45,0,0,0,13
8,8_1,RUNNING,BoTorch,10.000156901367083,0,0,0,0,14,0,9,10,0,2,0,20,18,41,15,0,13,0,31,9,67,0,0,0,48,0,21,30,0,10,0,28
8,8_2,RUNNING,BoTorch,9.999809089068467,0,17,0,0,0,0,3,24,0,69,0,0,0,0,16,0,19,0,39,6,0,0,0,24,50,0,19,66,0,1,0,33
8,8_3,RUNNING,BoTorch,10.000062133305484,0,0,0,37,0,9,0,20,0,0,0,34,12,0,17,0,26,0,1,155,0,0,0,51,21,0,0,1,0,0,0,0
8,8_4,RUNNING,BoTorch,9.999961764034028,1,27,0,5,0,0,0,78,0,0,0,0,0,0,18,0,24,0,14,0,0,0,0,118,59,41,0,0,0,0,0,0
8,8_5,RUNNING,BoTorch,9.999856682667804,0,0,0,34,0,0,3,15,0,0,41,32,0,0,0,4,31,0,23,3,0,0,0,10,43,0,20,53,0,57,0,15
8,8_6,RUNNING,BoTorch,0.006432317090728259,49,16,9,6,11,0,0,6,0,12,0,0,3,0,16,0,17,0,13,7,1,0,0,99,22,6,0,1,0,28,0,61
8,8_7,RUNNING,BoTorch,10.000074782343416,0,0,0,0,20,0,32,1,0,10,0,1,1,0,64,0,10,1,6,0,7,42,46,19,31,24,1,30,2,14,0,23
9,9_0,RUNNING,BoTorch,9.999948132264018,0,8,0,0,0,9,0,19,0,2,0,46,15,13,16,0,25,0,80,20,27,0,0,35,8,0,0,20,0,13,0,30
9,9_1,RUNNING,BoTorch,10.00018162301467,0,21,0,3,7,10,10,0,0,17,0,19,19,23,1,0,29,0,31,8,29,0,0,35,0,0,0,32,18,50,0,23
9,9_2,RUNNING,BoTorch,10.000054698224762,32,0,0,0,0,10,1,16,0,3,11,0,0,17,38,0,11,0,54,13,60,0,0,44,42,0,0,14,14,5,0,0
9,9_3,RUNNING,BoTorch,10.000070715111978,0,0,0,0,0,0,0,36,1,0,0,61,31,0,0,0,0,0,23,64,47,0,0,63,0,0,0,26,0,0,0,33
9,9_4,RUNNING,BoTorch,0.01205208387752744,0,0,0,0,0,0,45,0,0,74,0,0,0,0,9,0,22,0,46,20,8,3,12,66,0,0,0,1,5,28,11,33
9,9_5,RUNNING,BoTorch,0.007344435887859884,0,19,0,0,0,10,0,0,0,33,0,32,3,0,29,2,0,0,78,14,1,61,0,28,0,0,0,2,0,39,28,5
9,9_6,RUNNING,BoTorch,9.999949262676129,19,0,0,22,9,10,10,0,0,0,0,21,36,0,0,0,26,0,19,0,9,8,14,7,0,0,0,93,0,38,0,44
9,9_7,RUNNING,BoTorch,0.003750416778214157,12,15,1,10,4,21,1,4,4,11,8,11,9,5,2,1,14,1,21,26,13,1,22,24,3,6,0,26,47,35,9,8
10,10_0,RUNNING,BoTorch,10.00003929014559,17,18,0,14,0,3,12,17,0,0,0,25,6,18,0,0,32,0,57,4,22,0,9,32,23,0,9,29,4,11,0,25
10,10_1,RUNNING,BoTorch,0.010997385130759436,0,10,0,0,8,0,0,0,0,0,0,79,0,31,0,0,36,0,33,14,34,0,0,55,55,0,0,27,0,0,2,0
10,10_2,RUNNING,BoTorch,9.9999765167511,0,33,0,23,0,0,12,61,0,0,0,0,0,0,0,0,38,0,52,0,0,0,0,0,0,0,14,104,19,0,0,29
10,10_3,RUNNING,BoTorch,10.000091381686833,19,8,11,18,0,6,11,2,0,0,0,6,22,13,13,0,30,0,60,0,18,0,19,41,0,12,0,18,2,37,19,0
10,10_4,RUNNING,BoTorch,10.000081459543413,35,4,0,18,5,0,12,4,0,31,0,3,3,14,0,0,24,0,42,29,28,0,31,3,25,0,20,36,18,1,0,0
10,10_5,RUNNING,BoTorch,0.006453667894124324,22,0,24,22,0,3,0,0,0,1,0,22,19,14,1,0,0,0,76,15,10,0,0,46,0,11,0,36,0,48,11,3
10,10_6,RUNNING,BoTorch,0.003908628401284237,1,10,4,1,3,8,22,12,8,13,5,7,18,4,4,0,22,9,7,0,1,1,10,9,17,17,14,0,4,13,35,92
10,10_7,RUNNING,BoTorch,0.003724021665907508,7,3,12,6,5,0,11,1,2,3,10,1,20,31,1,7,31,3,4,12,14,7,4,3,1,9,6,36,13,61,12,34
11,11_0,RUNNING,BoTorch,10.000048543590268,9,17,0,12,5,8,12,10,11,0,0,11,20,2,9,3,22,0,29,13,34,0,0,7,0,0,17,43,28,9,19,37
11,11_1,RUNNING,BoTorch,9.999966048651467,10,0,0,19,4,9,11,14,14,15,0,0,10,3,4,16,28,0,16,13,0,0,38,21,0,0,21,31,16,18,28,26
11,11_2,RUNNING,BoTorch,10.000198689614269,0,53,0,0,0,0,16,0,0,0,0,13,22,15,10,0,17,0,61,19,32,0,0,0,0,0,0,2,51,0,24,50
11,11_3,RUNNING,BoTorch,9.999956952653447,23,2,0,0,15,10,13,6,16,0,2,21,20,0,1,0,27,0,29,8,49,0,0,0,23,0,0,46,16,5,12,42
11,11_4,RUNNING,BoTorch,9.999845277569548,0,0,0,20,0,5,13,19,16,0,0,0,27,2,19,6,26,0,23,12,0,0,0,1,0,0,20,1,122,0,27,25
11,11_5,RUNNING,BoTorch,0.006072567493257243,9,44,0,10,0,9,12,13,14,0,1,0,0,7,9,0,27,0,19,4,33,0,8,34,0,0,0,39,5,54,0,32
11,11_6,RUNNING,BoTorch,0.00754160351367968,0,36,0,0,0,0,11,11,11,0,0,4,17,28,10,0,17,0,11,147,26,0,0,0,0,0,0,0,0,0,16,39
11,11_7,RUNNING,BoTorch,10.000084123282416,3,0,0,0,8,11,12,0,0,11,0,0,54,13,17,0,24,0,60,4,37,0,1,1,0,11,19,32,22,21,0,24
12,12_0,RUNNING,BoTorch,10.000075990252462,7,3,7,8,0,3,11,18,3,16,0,19,16,6,5,6,24,0,20,21,19,6,26,0,16,19,15,10,29,4,13,36
12,12_1,RUNNING,BoTorch,10.000148377105951,11,0,0,8,13,3,11,5,12,21,9,22,2,11,1,0,0,0,0,42,6,0,26,13,12,16,20,41,8,0,25,48
