trial index,timestamp
0,2025-06-09 10:37:04.897277
5,2025-06-09 10:38:33.909958
6,2025-06-09 10:39:55.940527
7,2025-06-09 10:41:06.635412
8,2025-06-09 10:42:36.774801
9,2025-06-09 10:43:56.639580
10,2025-06-09 10:45:49.060362
11,2025-06-09 10:47:37.707860
12,2025-06-09 10:49:25.342960
13,2025-06-09 10:51:13.372509
14,2025-06-09 10:52:48.983130
