trial index,timestamp
0,2025-06-08 22:44:17.541413
5,2025-06-08 22:44:39.568251
6,2025-06-08 22:45:02.946729
7,2025-06-08 22:45:41.228288
8,2025-06-08 22:46:19.590883
9,2025-06-08 22:46:41.773523
10,2025-06-08 22:47:11.653827
11,2025-06-08 22:47:48.688596
12,2025-06-08 22:48:19.267581
13,2025-06-08 22:49:09.605133
14,2025-06-08 22:49:47.598424
15,2025-06-08 22:50:14.263552
16,2025-06-08 22:50:42.593067
17,2025-06-08 22:51:13.756698
18,2025-06-08 22:51:48.019857
19,2025-06-08 22:52:18.548484
20,2025-06-08 22:52:45.599682
21,2025-06-08 22:53:17.900575
22,2025-06-08 22:53:58.724808
23,2025-06-08 22:54:32.634826
24,2025-06-08 22:55:09.172279
