trial index,timestamp
0,2025-06-08 22:55:09.184457
5,2025-06-08 22:55:35.827576
6,2025-06-08 22:56:04.502834
7,2025-06-08 22:56:33.238346
8,2025-06-08 22:56:58.597594
9,2025-06-08 22:57:28.452724
10,2025-06-08 22:58:14.701591
11,2025-06-08 22:58:52.690280
12,2025-06-08 22:59:42.225872
13,2025-06-08 23:00:22.750838
14,2025-06-08 23:00:59.548806
15,2025-06-08 23:02:23.701662
16,2025-06-08 23:03:22.966142
17,2025-06-08 23:04:28.384197
18,2025-06-08 23:05:37.362203
19,2025-06-08 23:06:30.272711
20,2025-06-08 23:07:44.847901
21,2025-06-08 23:08:50.042923
22,2025-06-08 23:09:35.072288
23,2025-06-08 23:10:34.244600
24,2025-06-08 23:11:49.999114
