trial_index,arm_name,trial_status,generation_method,rho_max,num_islands_DGX-B300,skew_exponent_DGX-B300,num_islands_H200,skew_exponent_H200
0,warm_start_0,RUNNING,Manual,0.004391518753692063,51,-4.713187541630837,89,4.102173917298774
1,warm_start_1,RUNNING,Manual,0.0033481421171454675,54,-3.7619575102652036,62,-4.1939894624812
2,warm_start_2,RUNNING,Manual,10.000195168765812,56,0.4513571882066225,118,-1.4733519161407118
3,warm_start_3,RUNNING,Manual,0.004131320965065313,11,-2.3457000296123454,18,0.24623603585845544
4,warm_start_4,RUNNING,Manual,0.004716989382788792,33,0.72877294854404,19,4.5114157925181395
5,5_0,RUNNING,BoTorch,0.0018402496497315595,50,-5.0,45,5.0
5,5_1,RUNNING,BoTorch,0.0030516472409252275,3,-5.0,75,-4.444579838418917
5,5_2,RUNNING,BoTorch,0.012998330552849668,64,-1.2789661409870439,1,-5.0
5,5_3,RUNNING,BoTorch,0.06318765566795524,1,1.669401171823202,1,-5.0
5,5_4,RUNNING,BoTorch,0.0034644656794201043,64,-2.017047048116063,31,5.0
5,5_5,RUNNING,BoTorch,0.013168560291653635,64,5.0,1,5.0
5,5_6,RUNNING,BoTorch,0.004168318979478393,1,-0.8718061791380587,48,5.0
5,5_7,RUNNING,BoTorch,0.012964930093532652,64,-5.0,1,-5.0
6,6_0,RUNNING,BoTorch,0.03151655221583275,2,-3.684240411028239,1,1.0545498358596461
6,6_1,RUNNING,BoTorch,9.999900910812574,64,5.0,128,2.1883371027543768
6,6_2,RUNNING,BoTorch,9.999883464769974,64,5.0,128,0.7314196501775005
6,6_3,RUNNING,BoTorch,9.999900221937798,64,5.0,128,1.340808218203221
6,6_4,RUNNING,BoTorch,0.06323031847541719,1,5.0,1,2.7663196633799867
6,6_5,RUNNING,BoTorch,0.01314540289785698,64,5.0,1,0.575326714088476
6,6_6,RUNNING,BoTorch,0.0631308297812395,1,-5.0,1,1.9142403314668799
6,6_7,RUNNING,BoTorch,0.004034174714932462,3,-5.0,128,0.35046771964422035
7,7_0,RUNNING,BoTorch,9.999887650573406,59,-5.0,79,5.0
7,7_1,RUNNING,BoTorch,0.004088863880065835,1,-4.809819167825138,95,4.226144638584182
7,7_2,RUNNING,BoTorch,0.005940541704877777,37,5.0,79,-5.0
7,7_3,RUNNING,BoTorch,9.99993343435477,64,-5.0,79,5.0
7,7_4,RUNNING,BoTorch,0.0039251391079907424,1,2.41941181967047,101,-0.840656138630121
7,7_5,RUNNING,BoTorch,0.0022016306855320335,12,5.0,88,4.067639499102067
7,7_6,RUNNING,BoTorch,0.007314737788926247,1,-0.7898936672193624,33,-3.9945024967067244
7,7_7,RUNNING,BoTorch,0.0038761599437018,1,-5.0,90,5.0
8,8_0,RUNNING,BoTorch,0.013102001190973005,56,4.44185856952026,19,-5.0
8,8_1,RUNNING,BoTorch,0.0026872153564607448,29,3.3330604564988877,77,-4.649199435379781
8,8_2,RUNNING,BoTorch,0.00403431762310793,42,-2.3078662913407544,128,-1.4243422667439611
8,8_3,RUNNING,BoTorch,0.003722898133191435,21,1.8494917476940052,1,4.484910021845912
8,8_4,RUNNING,BoTorch,0.0040298189515436626,20,-4.707832329908721,128,-4.2780475068553345
8,8_5,RUNNING,BoTorch,0.0038347956202198605,32,-3.469434924438385,128,3.374634702358088
8,8_6,RUNNING,BoTorch,0.0031277219043208326,20,-4.116044875499282,59,-4.403155853887061
8,8_7,RUNNING,BoTorch,0.01284583347118743,39,4.0749393629649315,1,-3.2184064178134464
9,9_0,RUNNING,BoTorch,0.013254709448074602,51,-1.1993776541903185,61,-5.0
9,9_1,RUNNING,BoTorch,0.0013875638728764478,13,1.0271564095831218,128,-3.3372351157888036
9,9_2,RUNNING,BoTorch,9.999855998634528,26,0.37769676944527664,128,2.1165895007169793
9,9_3,RUNNING,BoTorch,0.003308261465242381,27,2.8072078639481215,1,0.832106542772384
9,9_4,RUNNING,BoTorch,0.005086568545683198,16,5.0,1,-3.2979550351979796
9,9_5,RUNNING,BoTorch,9.999847282209203,37,1.1508281477274083,128,-1.9300255819331995
9,9_6,RUNNING,BoTorch,0.013541079438487558,45,4.018208834949831,90,-4.717285219463141
9,9_7,RUNNING,BoTorch,0.002558824059075962,15,2.2820017070442846,42,3.810204361233254
10,10_0,RUNNING,BoTorch,0.0039649169628300255,1,1.2305320089318668,128,-5.0
10,10_1,RUNNING,BoTorch,0.004234625279924098,48,-4.8434356602802024,98,3.2968944732967533
10,10_2,RUNNING,BoTorch,10.00017523886886,63,-4.569569930682513,128,-1.6705471130176275
10,10_3,RUNNING,BoTorch,0.004024090943310907,38,-2.119449409053489,94,0.09566654957113706
10,10_4,RUNNING,BoTorch,0.003892201549834955,1,3.405700049181965,128,-5.0
10,10_5,RUNNING,BoTorch,0.003877087223266246,1,-0.6942646181402082,128,-5.0
10,10_6,RUNNING,BoTorch,0.00312548308869837,48,-5.0,97,-4.6053098133098205
10,10_7,RUNNING,BoTorch,9.9999714831356,64,-4.483952302799036,99,5.0
11,11_0,RUNNING,BoTorch,0.00336903358539754,40,-1.1841425146092055,81,4.690365062626269
11,11_1,RUNNING,BoTorch,0.0014980010334630334,17,4.581294795012906,104,-4.241573527874864
11,11_2,RUNNING,BoTorch,0.002206258406303377,46,-2.8096264869580874,6,2.383496650363233
11,11_3,RUNNING,BoTorch,0.013151126632031416,52,3.6562320947327076,1,1.7292395574666282
11,11_4,RUNNING,BoTorch,9.999939145009106,40,-1.0415691991813045,66,2.9950770609139363
