trial index,timestamp
0,2025-06-05 12:45:52.727980
5,2025-06-05 12:46:19.898988
6,2025-06-05 12:46:47.733244
7,2025-06-05 12:47:22.420803
8,2025-06-05 12:47:55.117981
9,2025-06-05 12:48:18.096842
10,2025-06-05 12:48:41.357218
11,2025-06-05 12:49:57.942903
12,2025-06-05 12:50:52.915156
13,2025-06-05 12:52:04.201195
14,2025-06-05 12:52:55.638140
15,2025-06-05 12:54:45.575196
16,2025-06-05 12:55:27.063288
17,2025-06-05 12:56:10.629173
18,2025-06-05 12:57:00.614081
19,2025-06-05 12:58:29.829485
20,2025-06-05 12:59:43.346829
21,2025-06-05 13:00:58.688439
22,2025-06-05 13:02:07.856592
23,2025-06-05 13:03:12.609877
24,2025-06-05 13:04:15.754669
