trial_index,arm_name,trial_status,generation_method,rho_max,num_islands_DGX-B300,skew_exponent_DGX-B300,num_islands_H200,skew_exponent_H200
0,warm_start_0,RUNNING,Manual,0.002673811957345907,25,0.5106072664327748,20,-0.5165117038609699
1,warm_start_1,RUNNING,Manual,0.004602850497874814,8,-2.696260199882161,22,-4.3615452083190185
2,warm_start_2,RUNNING,Manual,0.01362606900440199,37,1.1152041439071203,99,-2.980764629378234
3,warm_start_3,RUNNING,Manual,0.0041223048230774415,35,-3.5796022659933744,84,4.747474715684595
4,warm_start_4,RUNNING,Manual,0.0016681507240549692,10,-0.2602741947396572,121,3.887984746085518
5,5_0,RUNNING,BoTorch,0.0037784633292243745,1,-4.412834721141705,128,5.0
5,5_1,RUNNING,BoTorch,0.002010894750421986,14,3.9205044485748446,110,5.0
5,5_2,RUNNING,BoTorch,9.999955232211256,42,-0.27378998953336553,128,4.3954467952714875
5,5_3,RUNNING,BoTorch,0.004005445681213886,1,-1.0452058011553793,90,3.0876222733751852
5,5_4,RUNNING,BoTorch,0.01300900334782695,14,-5.0,1,0.6994517386332187
5,5_5,RUNNING,BoTorch,0.02144335040126656,3,5.0,1,-1.633254481533932
5,5_6,RUNNING,BoTorch,0.01304978863046417,61,0.742646032037423,1,-1.9218997320537732
5,5_7,RUNNING,BoTorch,0.002743246038703036,37,4.27306936530716,23,2.8502748067120813
6,6_0,RUNNING,BoTorch,0.013295691551139611,26,0.6210867944378259,88,-5.0
6,6_1,RUNNING,BoTorch,0.002883319541369776,4,5.0,113,-4.067326437583466
6,6_2,RUNNING,BoTorch,0.013178616063647742,48,4.982460357425861,79,-5.0
6,6_3,RUNNING,BoTorch,0.013089170142922732,64,-5.0,33,-5.0
6,6_4,RUNNING,BoTorch,0.0055797603782123196,1,5.0,34,5.0
6,6_5,RUNNING,BoTorch,0.0029137811134919422,30,-5.0,71,-5.0
6,6_6,RUNNING,BoTorch,0.0031914742070329994,15,-5.0,102,-5.0
6,6_7,RUNNING,BoTorch,0.013155323398843292,63,-5.0,84,-5.0
7,7_0,RUNNING,BoTorch,0.004015575750267072,2,-5.0,65,0.6468884462139383
7,7_1,RUNNING,BoTorch,0.0030104667047552063,34,-5.0,48,-5.0
7,7_2,RUNNING,BoTorch,0.002480699321499876,64,5.0,17,5.0
7,7_3,RUNNING,BoTorch,0.005525165488993424,64,-5.0,56,5.0
7,7_4,RUNNING,BoTorch,0.005983487794782209,40,5.0,1,-5.0
7,7_5,RUNNING,BoTorch,0.002167624081715468,18,5.0,50,5.0
