trial index,timestamp
0,2025-06-05 13:16:22.378767
5,2025-06-05 13:16:51.055713
6,2025-06-05 13:17:18.692380
7,2025-06-05 13:18:03.745668
8,2025-06-05 13:18:24.244430
9,2025-06-05 13:19:03.304574
10,2025-06-05 13:19:42.388208
11,2025-06-05 13:20:28.902931
12,2025-06-05 13:21:01.024080
13,2025-06-05 13:21:41.487280
14,2025-06-05 13:22:16.381311
15,2025-06-05 13:22:44.784696
16,2025-06-05 13:23:15.712819
17,2025-06-05 13:23:47.292684
18,2025-06-05 13:24:25.481114
19,2025-06-05 13:24:59.582886
20,2025-06-05 13:25:36.418919
21,2025-06-05 13:26:16.273921
22,2025-06-05 13:26:51.760361
23,2025-06-05 13:27:14.898880
24,2025-06-05 13:27:47.289449
