trial index,timestamp
0,2025-06-05 12:14:45.379827
5,2025-06-05 12:15:15.112187
6,2025-06-05 12:15:37.495986
7,2025-06-05 12:15:54.915979
8,2025-06-05 12:16:28.161596
9,2025-06-05 12:16:54.504122
10,2025-06-05 12:17:18.767287
11,2025-06-05 12:17:52.922717
12,2025-06-05 12:18:18.312772
13,2025-06-05 12:18:40.766694
14,2025-06-05 12:19:12.676288
15,2025-06-05 12:19:44.619851
16,2025-06-05 12:20:14.774471
17,2025-06-05 12:20:39.521691
18,2025-06-05 12:21:08.421342
19,2025-06-05 12:21:31.231561
20,2025-06-05 12:22:18.479112
21,2025-06-05 12:22:52.587376
22,2025-06-05 12:23:20.014018
23,2025-06-05 12:24:07.944805
24,2025-06-05 12:24:48.759150
