trial index,timestamp
0,2025-06-05 13:04:15.766364
5,2025-06-05 13:04:36.605890
6,2025-06-05 13:04:55.902833
7,2025-06-05 13:05:17.086597
8,2025-06-05 13:05:44.680862
9,2025-06-05 13:06:10.483909
10,2025-06-05 13:06:42.028235
11,2025-06-05 13:07:04.029182
12,2025-06-05 13:07:32.123218
13,2025-06-05 13:08:10.239122
14,2025-06-05 13:08:31.012128
15,2025-06-05 13:09:43.175088
16,2025-06-05 13:10:21.346109
17,2025-06-05 13:11:26.006739
18,2025-06-05 13:12:17.023803
19,2025-06-05 13:12:48.975509
20,2025-06-05 13:13:47.389270
21,2025-06-05 13:14:39.220303
22,2025-06-05 13:15:15.141618
23,2025-06-05 13:15:47.894728
24,2025-06-05 13:16:22.367080
