trial_index,arm_name,trial_status,generation_method,rho_max,num_islands_DGX-B300,skew_exponent_DGX-B300,num_islands_H200,skew_exponent_H200
0,warm_start_0,RUNNING,Manual,0.00849677003323749,3,0.26870133095314586,13,-4.193397218892077
1,warm_start_1,RUNNING,Manual,0.007163883214690675,8,2.3368544259015387,4,-4.632142988353771
2,warm_start_2,RUNNING,Manual,0.01649648641777852,1,-4.2693653680953965,8,-1.9925810095851801
3,warm_start_3,RUNNING,Manual,0.013050076285725392,5,1.0564983887617192,1,-1.9458010936165762
4,warm_start_4,RUNNING,Manual,0.015177613281664242,1,-2.660174669838825,9,0.6542232707900819
5,5_0,RUNNING,BoTorch,0.00701823211190561,8,2.5765034225397954,9,-5.0
5,5_1,RUNNING,BoTorch,0.013059697264864249,8,-1.4000410826606111,1,-5.0
5,5_2,RUNNING,BoTorch,0.007960457475066136,8,5.0,2,0.9285990367515128
5,5_3,RUNNING,BoTorch,0.007725367288967155,7,5.0,5,-5.0
5,5_4,RUNNING,BoTorch,0.0068503464711912035,8,-1.0786065963122544,6,3.0013515624712865
5,5_5,RUNNING,BoTorch,0.0078032793205801716,3,5.0,16,3.4434140545007024
5,5_6,RUNNING,BoTorch,0.006758801740850317,4,-4.542216042961892,16,-5.0
5,5_7,RUNNING,BoTorch,0.00712649802715241,8,-4.061111041337003,6,-5.0
6,6_0,RUNNING,BoTorch,0.0052029625697351915,7,-1.8168508551972424,15,-4.7275159863469165
6,6_1,RUNNING,BoTorch,0.011029529255634801,1,-4.3594259485189175,16,5.0
6,6_2,RUNNING,BoTorch,0.007123724085236292,8,-5.0,10,-5.0
6,6_3,RUNNING,BoTorch,0.007212274000275242,8,4.972571337391604,6,-5.0
6,6_4,RUNNING,BoTorch,0.005277977145528981,7,5.0,16,-5.0
6,6_5,RUNNING,BoTorch,0.005295346018180635,8,-5.0,13,5.0
6,6_6,RUNNING,BoTorch,0.00551716569308096,6,-0.5737581973217808,16,5.0
6,6_7,RUNNING,BoTorch,10.000038129645958,8,-5.0,16,-5.0
7,7_0,RUNNING,BoTorch,0.00620988270308217,6,-0.5807541332596093,14,-2.8641819398792445
7,7_1,RUNNING,BoTorch,0.008950630507058053,2,-3.944654735933398,15,-2.6526692979613435
7,7_2,RUNNING,BoTorch,0.006913048820028848,8,-4.433699839768823,9,1.121858747130083
7,7_3,RUNNING,BoTorch,0.009846460937473217,4,-2.0496516680658012,16,-5.0
7,7_4,RUNNING,BoTorch,0.0071771863752310245,8,-1.9670125807027168,10,-5.0
7,7_5,RUNNING,BoTorch,9.99994945535073,8,0.00977932353242883,16,-5.0
7,7_6,RUNNING,BoTorch,0.00800782780784022,5,-5.0,9,-5.0
7,7_7,RUNNING,BoTorch,0.007030541477265407,7,3.156085913975077,6,1.8525161095534026
8,8_0,RUNNING,BoTorch,0.007236807962559477,6,-1.7747019330192473,14,-1.6548030302081431
8,8_1,RUNNING,BoTorch,0.007449683941733555,5,-0.12023308796220539,13,0.7110372936275813
8,8_2,RUNNING,BoTorch,0.007101108726209683,6,-1.2387286834416205,11,-5.0
8,8_3,RUNNING,BoTorch,0.009046170622794364,7,0.19166586263634341,3,-1.837097218472292
8,8_4,RUNNING,BoTorch,0.009935061436168673,5,-0.8635913776730191,16,-3.8682968735309977
8,8_5,RUNNING,BoTorch,0.0059825228995090945,7,-1.5794403381455615,12,4.200750703947031
8,8_6,RUNNING,BoTorch,0.013434433251730788,3,-3.6811549921850806,10,-3.0299876055951196
8,8_7,RUNNING,BoTorch,0.006959169801578604,6,-5.0,11,5.0
9,9_0,RUNNING,BoTorch,0.007144610017258867,7,-5.0,8,-5.0
9,9_1,RUNNING,BoTorch,0.005499108126606515,8,-5.0,11,5.0
9,9_2,RUNNING,BoTorch,0.008973974862145389,3,-5.0,12,0.3583705231713938
9,9_3,RUNNING,BoTorch,0.01363170214212845,2,-2.0686727128154354,13,-4.999320539016916
9,9_4,RUNNING,BoTorch,0.009944164843131056,6,1.6560664265491971,6,-3.5891602648597427
9,9_5,RUNNING,BoTorch,0.013198749117067875,7,-2.221063391149437,5,-4.229316242161142
9,9_6,RUNNING,BoTorch,0.0064034459374167525,7,4.19575341565319,11,-3.020009276595842
9,9_7,RUNNING,BoTorch,0.00998185528793922,4,-3.570126043540849,16,4.1266740178566845
10,10_0,RUNNING,BoTorch,0.009822522831762808,5,-0.3794425302205953,13,-5.0
10,10_1,RUNNING,BoTorch,0.01400690502330085,2,-3.2145504875981032,13,4.489924087260578
10,10_2,RUNNING,BoTorch,0.00783656121979657,5,4.695846928744033,15,-0.8487835597143956
10,10_3,RUNNING,BoTorch,0.010573143219073622,6,2.936006008587404,2,-3.1353972291643575
10,10_4,RUNNING,BoTorch,0.00704862544050362,7,5.0,7,3.8286799399055456
10,10_5,RUNNING,BoTorch,0.006634634535659916,8,1.3716245105897376,6,2.5541315821950454
10,10_6,RUNNING,BoTorch,0.010544129434730631,6,-1.3030928501435675,2,2.097446824559935
10,10_7,RUNNING,BoTorch,0.013583825957111358,1,-0.3971717890749177,11,-1.8897189276979707
11,11_0,RUNNING,BoTorch,0.0069471643202061615,8,-3.769089377420614,9,-5.0
11,11_1,RUNNING,BoTorch,0.009058863364157184,2,-0.7519928072066565,16,-1.625334477517912
11,11_2,RUNNING,BoTorch,0.013374432547039756,2,1.1706838474764356,10,-5.0
11,11_3,RUNNING,BoTorch,0.00790412841951056,8,-2.6289625559461944,2,2.718290042236976
11,11_4,RUNNING,BoTorch,0.0079456951722005,6,-0.1549013607739399,7,4.120712910405914
11,11_5,RUNNING,BoTorch,0.01053972140739637,4,-4.7301957102561385,7,3.734483542564165
11,11_6,RUNNING,BoTorch,0.010112974400081241,7,1.80081414575128,1,4.070591690924352
11,11_7,RUNNING,BoTorch,0.010114829585582588,5,3.6194470457375507,7,-5.0
12,12_0,RUNNING,BoTorch,0.009994594240473487,4,-2.829625074465041,11,3.4343759791887827
12,12_1,RUNNING,BoTorch,0.013102713675914965,4,-4.085517690156497,3,-1.5613061916810589
12,12_2,RUNNING,BoTorch,0.0158498001096225,2,3.503853983109377,6,-3.9868348278765144
12,12_3,RUNNING,BoTorch,0.033544396347352574,1,1.3889636358193733,3,3.9354295599103155
12,12_4,RUNNING,BoTorch,0.020942368736305127,3,3.42110934825453,1,1.7069511409676015
