trial index,timestamp
0,2025-06-08 15:48:40.111308
5,2025-06-08 15:49:11.719881
6,2025-06-08 15:49:27.272302
7,2025-06-08 15:50:00.329820
8,2025-06-08 15:50:37.748223
9,2025-06-08 15:51:09.460364
10,2025-06-08 15:51:35.839115
11,2025-06-08 15:52:01.597827
12,2025-06-08 15:52:24.121176
13,2025-06-08 15:52:47.595696
14,2025-06-08 15:53:07.510290
15,2025-06-08 15:53:33.292001
16,2025-06-08 15:54:08.849778
17,2025-06-08 15:54:30.380383
18,2025-06-08 15:54:59.304164
19,2025-06-08 15:55:27.692038
20,2025-06-08 15:56:04.498743
21,2025-06-08 15:56:50.708016
22,2025-06-08 15:57:24.370001
23,2025-06-08 15:57:59.495788
24,2025-06-08 15:58:34.193956
