trial index,timestamp
0,2025-06-08 15:13:19.387949
5,2025-06-08 15:13:49.866268
6,2025-06-08 15:14:10.621666
7,2025-06-08 15:14:38.796106
8,2025-06-08 15:14:57.401845
9,2025-06-08 15:15:38.474216
10,2025-06-08 15:15:59.616168
11,2025-06-08 15:16:36.352128
12,2025-06-08 15:17:08.694039
13,2025-06-08 15:17:47.622595
14,2025-06-08 15:18:19.141583
15,2025-06-08 15:18:58.300485
16,2025-06-08 15:19:43.472167
17,2025-06-08 15:20:26.555794
18,2025-06-08 15:21:08.989459
19,2025-06-08 15:22:03.307274
20,2025-06-08 15:22:55.596042
21,2025-06-08 15:23:26.438822
22,2025-06-08 15:23:57.766427
23,2025-06-08 15:24:45.448055
24,2025-06-08 15:25:12.248948
