trial index,timestamp
0,2025-06-05 20:26:00.485911
5,2025-06-05 20:26:37.884919
6,2025-06-05 20:27:02.781082
7,2025-06-05 20:27:29.927973
8,2025-06-05 20:27:58.553100
9,2025-06-05 20:28:45.561424
10,2025-06-05 20:29:37.233285
11,2025-06-05 20:30:39.418708
12,2025-06-05 20:32:06.257330
13,2025-06-05 20:33:18.271958
14,2025-06-05 20:34:40.251073
15,2025-06-05 20:35:35.256138
16,2025-06-05 20:38:39.226649
17,2025-06-05 20:42:20.758692
18,2025-06-05 20:46:23.205502
19,2025-06-05 20:47:06.095092
20,2025-06-05 20:47:43.574004
21,2025-06-05 20:48:11.655173
22,2025-06-05 20:49:17.058279
23,2025-06-05 20:50:39.550505
24,2025-06-05 20:51:10.262877
