trial index,timestamp
0,2025-06-05 13:27:47.301129
5,2025-06-05 13:28:34.681504
6,2025-06-05 13:29:43.531065
7,2025-06-05 13:31:24.919854
8,2025-06-05 13:32:37.502625
9,2025-06-05 13:34:14.043004
10,2025-06-05 13:35:30.515323
11,2025-06-05 13:36:42.577040
12,2025-06-05 13:38:01.437497
13,2025-06-05 13:38:53.557946
14,2025-06-05 13:40:01.244502
15,2025-06-05 13:41:11.376747
16,2025-06-05 13:42:26.361522
17,2025-06-05 13:44:01.251494
18,2025-06-05 13:47:23.409614
19,2025-06-05 13:49:39.757382
20,2025-06-05 13:51:12.558766
21,2025-06-05 13:52:33.289920
22,2025-06-05 13:53:49.836005
23,2025-06-05 13:55:24.677500
24,2025-06-05 13:58:11.259549
