trial index,timestamp
0,2025-06-05 18:39:42.713916
5,2025-06-05 18:40:54.110855
6,2025-06-05 18:42:04.192607
7,2025-06-05 18:43:49.181585
8,2025-06-05 18:44:42.830445
9,2025-06-05 18:47:58.429944
10,2025-06-05 18:51:37.117127
11,2025-06-05 18:55:04.381791
12,2025-06-05 18:58:32.693685
13,2025-06-05 19:01:45.305169
14,2025-06-05 19:04:46.932476
15,2025-06-05 19:07:30.436602
16,2025-06-05 19:09:58.416825
17,2025-06-05 19:12:15.253600
18,2025-06-05 19:14:05.555851
19,2025-06-05 19:15:51.796881
20,2025-06-05 19:17:29.650160
21,2025-06-05 19:19:09.680067
22,2025-06-05 19:20:38.832982
23,2025-06-05 19:22:26.137873
24,2025-06-05 19:26:48.314370
