trial_index,arm_name,trial_status,generation_method,rho_max,num_islands_H200,skew_exponent_H200,num_islands_H800,skew_exponent_H800,num_islands_H20,skew_exponent_H20
0,warm_start_0,RUNNING,Manual,10.000037930740632,15,-3.5682790159116062,62,1.3428412721006655,54,0.006909751502030659
1,warm_start_1,RUNNING,Manual,0.015304912635057613,13,-4.163483703774445,17,-4.9839076505995195,32,-0.7639172452276082
2,warm_start_2,RUNNING,Manual,9.999981808888696,1,4.469023133236439,58,0.01184957254557606,35,4.006352619364913
3,warm_start_3,RUNNING,Manual,9.999957545185152,3,-0.28082417890818157,26,3.3555718476487613,30,-0.6833233463350874
4,warm_start_4,RUNNING,Manual,0.016692756486877597,8,-2.024057320234104,30,2.573063242341961,23,2.4870576524251087
5,5_0,RUNNING,BoTorch,0.011077532805344344,11,-3.112953560772866,22,-0.92393361304442,24,1.4916823545901832
5,5_1,RUNNING,BoTorch,0.01977302759825419,9,-5.0,23,-4.92064445761201,31,1.3048557309438973
5,5_10,RUNNING,BoTorch,0.08233045987395116,10,-5.0,34,5.0,28,-1.6047159504332802
5,5_11,RUNNING,BoTorch,0.019000399736873255,15,-2.0465608411554603,1,-5.0,31,-5.0
5,5_12,RUNNING,BoTorch,0.015903114400857756,10,-4.938444910019179,1,-1.7031848200710689,22,-0.9089912577958018
5,5_13,RUNNING,BoTorch,0.05057146375637752,12,-5.0,35,-2.062602112970186,20,5.0
5,5_14,RUNNING,BoTorch,0.02525964324567817,10,1.1313741464292641,19,-3.9854137826438745,33,-0.2728475723117577
5,5_15,RUNNING,BoTorch,10.000026289432128,11,-2.551983347059744,16,-0.17436495487558745,23,0.29869363124757636
5,5_2,RUNNING,BoTorch,0.020460264251954,11,-0.38474885845100504,15,2.4199198903491954,27,-2.095735733094413
5,5_3,RUNNING,BoTorch,0.04611323906700793,9,-3.921473932226083,47,5.0,15,5.0
5,5_4,RUNNING,BoTorch,0.09326898063172634,11,1.2285946210966363,22,-2.4546292535570844,27,5.0
5,5_5,RUNNING,BoTorch,0.08090151097915418,10,-5.0,37,-2.000372419049395,19,-2.267829229047557
5,5_6,RUNNING,BoTorch,0.16859950453756456,10,-5.0,3,2.5253398408154712,29,4.5743482012695225
5,5_7,RUNNING,BoTorch,0.16874405882601848,9,1.6581140809334909,25,-0.4767492487768811,11,2.6641057154801273
5,5_8,RUNNING,BoTorch,0.012286353630077079,10,-4.210168837446202,55,-3.0004484154061135,27,2.5521837330963524
5,5_9,RUNNING,BoTorch,0.015791498547926587,11,-5.0,1,-1.3716663360284933,19,4.036577611234756
6,6_0,RUNNING,BoTorch,0.017112703096453366,8,-4.301622819968396,28,-5.0,29,1.7448287545670385
6,6_1,RUNNING,BoTorch,0.025196345137657287,10,5.0,1,-5.0,63,-0.5598957048965006
6,6_10,RUNNING,BoTorch,0.04289478406230742,14,4.999773974870023,61,5.0,2,-2.8892917190033858
6,6_11,RUNNING,BoTorch,0.08026191212928518,4,-5.0,1,-5.0,1,1.6389084286097821
6,6_12,RUNNING,BoTorch,0.019039174045990225,15,5.0,1,-5.0,1,3.4503617849039214
6,6_13,RUNNING,BoTorch,0.08065394603933636,1,-5.0,3,-5.0,2,1.0771801905239826
6,6_14,RUNNING,BoTorch,9.999952787480133,11,5.0,64,5.0,64,-0.6840967876624144
6,6_15,RUNNING,BoTorch,0.014764973492603759,9,0.9848666185205455,2,-0.47187773124103266,50,-3.194522600790148
6,6_2,RUNNING,BoTorch,0.08027568965763046,14,5.0,64,5.0,1,4.319557689988781
6,6_3,RUNNING,BoTorch,0.025320149984777846,6,5.0,1,5.0,64,-2.101873805498501
