trial index,timestamp
0,2025-06-08 18:05:31.982270
5,2025-06-08 18:06:09.911631
6,2025-06-08 18:06:28.504827
7,2025-06-08 18:07:01.388752
8,2025-06-08 18:07:33.774778
9,2025-06-08 18:08:14.607341
10,2025-06-08 18:08:41.059133
11,2025-06-08 18:09:17.929871
12,2025-06-08 18:10:00.000940
13,2025-06-08 18:10:44.647731
14,2025-06-08 18:11:31.647675
15,2025-06-08 18:12:16.536620
16,2025-06-08 18:12:54.783338
17,2025-06-08 18:13:36.371395
18,2025-06-08 18:14:23.631693
19,2025-06-08 18:15:10.447897
20,2025-06-08 18:16:21.439148
21,2025-06-08 18:17:09.949342
22,2025-06-08 18:18:48.146905
23,2025-06-08 18:19:36.649006
24,2025-06-08 18:20:25.442723
