trial index,timestamp
0,2025-06-08 18:34:51.938656
5,2025-06-08 18:35:24.772002
6,2025-06-08 18:36:24.327881
7,2025-06-08 18:36:47.233062
8,2025-06-08 18:37:21.602943
9,2025-06-08 18:38:05.486556
10,2025-06-08 18:38:48.818104
11,2025-06-08 18:39:31.045246
12,2025-06-08 18:41:03.689996
13,2025-06-08 18:42:13.152067
14,2025-06-08 18:43:31.015547
15,2025-06-08 18:44:13.840033
16,2025-06-08 18:44:46.088139
17,2025-06-08 18:46:20.552151
18,2025-06-08 18:48:31.054454
19,2025-06-08 18:50:09.631247
20,2025-06-08 18:51:32.135721
21,2025-06-08 18:52:08.602854
22,2025-06-08 18:52:59.183786
23,2025-06-08 18:54:01.815064
24,2025-06-08 18:54:58.643801
