trial_index,arm_name,trial_status,generation_method,rho_max,count_DGX-B300_0,count_DGX-B300_1,count_DGX-B300_2,count_DGX-B300_3,count_DGX-B300_4,count_DGX-B300_5,count_DGX-B300_6,count_DGX-B300_7,count_H200_0,count_H200_1,count_H200_2,count_H200_3,count_H200_4,count_H200_5,count_H200_6,count_H200_7
0,warm_start_0,RUNNING,Manual,0.013706882182762035,65,30,1,2,0,12,13,3,162,58,23,3,10,0,0,0
1,warm_start_1,RUNNING,Manual,0.012229451705615894,74,16,8,4,15,9,0,0,211,23,22,0,0,0,0,0
2,warm_start_2,RUNNING,Manual,0.012866182215107968,100,15,13,0,0,0,0,0,128,36,7,8,15,8,23,27
3,warm_start_3,RUNNING,Manual,0.013731365293826452,70,38,13,2,5,0,0,0,149,101,3,3,0,0,0,0
4,warm_start_4,RUNNING,Manual,0.01376157184368621,83,26,3,10,6,0,0,0,150,63,34,7,0,2,0,0
5,5_0,RUNNING,BoTorch,10.000098738429557,19,0,40,0,70,0,0,0,218,0,0,0,0,0,0,38
5,5_1,RUNNING,BoTorch,0.024359559731455177,0,0,0,0,58,0,0,70,39,0,0,0,199,0,8,0
5,5_2,RUNNING,BoTorch,0.030355858188117552,0,13,115,0,0,0,0,0,0,0,2,254,0,0,0,0
5,5_3,RUNNING,BoTorch,0.027109627092998204,0,0,0,0,128,0,0,0,1,0,54,0,0,124,34,38
6,6_0,RUNNING,BoTorch,0.06935533294355796,128,0,0,0,0,0,0,0,256,0,0,0,0,0,0,0
6,6_1,RUNNING,BoTorch,0.02641952545690102,0,0,0,0,0,128,0,0,152,32,0,0,3,0,25,44
6,6_2,RUNNING,BoTorch,0.007983562505860875,34,2,0,1,15,33,24,8,1,17,17,122,16,49,19,14
6,6_3,RUNNING,BoTorch,0.007190190591587668,21,2,55,3,10,19,9,1,51,14,16,109,18,1,23,10
7,7_0,RUNNING,BoTorch,0.03463238286052184,27,101,0,0,0,0,0,0,0,0,0,0,256,0,0,0
