trial_index,arm_name,trial_status,generation_method,rho_max,count_DGX-B300_0,count_DGX-B300_1,count_DGX-B300_2,count_DGX-B300_3,count_DGX-B300_4,count_DGX-B300_5,count_DGX-B300_6,count_DGX-B300_7,count_H200_0,count_H200_1,count_H200_2,count_H200_3,count_H200_4,count_H200_5,count_H200_6,count_H200_7
0,warm_start_0,RUNNING,Manual,0.013826091823309822,93,22,10,3,0,0,0,0,49,167,35,1,4,0,0,0
1,warm_start_1,RUNNING,Manual,0.017226204256404597,124,3,0,0,0,1,0,0,85,140,28,2,0,1,0,0
2,warm_start_2,RUNNING,Manual,0.008425553394180394,77,14,25,7,3,2,0,0,44,18,144,4,22,13,10,1
3,warm_start_3,RUNNING,Manual,0.013778142179563684,56,19,49,0,1,1,1,0,85,61,86,23,0,0,0,1
4,warm_start_4,RUNNING,Manual,0.01383055124180867,70,5,32,16,4,1,0,0,103,41,87,14,5,0,0,6
5,5_0,RUNNING,BoTorch,0.03473215612762899,0,89,0,39,0,0,0,0,0,0,256,0,0,0,0,0
5,5_1,RUNNING,BoTorch,0.02794020954774779,0,0,109,19,0,0,0,0,0,0,203,0,53,0,0,0
5,5_2,RUNNING,BoTorch,0.02430067052001233,0,4,0,0,0,0,0,124,0,0,136,0,57,63,0,0
5,5_3,RUNNING,BoTorch,0.02432638834157571,0,18,0,0,110,0,0,0,0,0,0,0,201,7,48,0
6,6_0,RUNNING,BoTorch,0.02804342187319798,108,20,0,0,0,0,0,0,0,0,217,0,39,0,0,0
6,6_1,RUNNING,BoTorch,0.028136629045895038,90,0,0,0,0,0,38,0,0,0,118,0,0,0,138,0
6,6_2,RUNNING,BoTorch,0.028067315578188354,76,0,0,0,0,52,0,0,0,0,104,152,0,0,0,0
6,6_3,RUNNING,BoTorch,0.0212030793126541,80,0,0,0,0,0,0,48,36,0,0,140,40,0,0,40
7,7_0,RUNNING,BoTorch,10.00012028497769,90,1,30,8,0,0,0,0,64,0,144,0,0,40,9,0
7,7_1,RUNNING,BoTorch,0.047633590118232746,0,0,0,0,128,0,0,0,73,0,183,0,0,0,0,0
7,7_2,RUNNING,BoTorch,0.06935986099145539,0,0,0,0,0,0,128,0,256,0,0,0,0,0,0,0
7,7_3,RUNNING,BoTorch,0.03703416126309442,0,0,0,128,0,0,0,0,74,0,136,0,46,0,0,0
8,8_0,RUNNING,BoTorch,9.99977354097851,75,0,48,0,0,0,0,6,44,0,0,0,82,131,0,0
8,8_1,RUNNING,BoTorch,9.999956941411856,59,0,43,0,0,0,0,27,18,0,0,0,238,0,0,0
8,8_2,RUNNING,BoTorch,0.021003736250846658,61,0,41,0,26,0,0,0,0,0,0,0,0,254,2,0
8,8_3,RUNNING,BoTorch,0.01816311548360906,16,0,49,0,0,0,0,63,15,0,0,0,0,25,215,0
9,9_0,RUNNING,BoTorch,10.00003426026991,75,7,40,0,7,0,0,0,0,38,3,0,157,59,0,0
9,9_1,RUNNING,BoTorch,0.016087605952561992,81,0,41,0,6,0,0,0,0,32,89,0,0,106,28,0
9,9_2,RUNNING,BoTorch,0.017940332757967803,54,0,61,0,13,0,0,0,0,108,5,0,143,0,0,0
9,9_3,RUNNING,BoTorch,0.007186495475473563,6,10,3,17,43,22,8,18,15,128,13,25,13,16,11,12
10,10_0,RUNNING,BoTorch,9.999859349801978,0,0,0,21,0,96,12,0,0,256,0,0,0,0,0,0
10,10_1,RUNNING,BoTorch,0.014845732130670865,0,0,11,73,31,0,13,0,0,193,0,1,0,0,62,0
10,10_2,RUNNING,BoTorch,0.020348412304709455,0,73,0,15,0,39,0,0,0,0,0,0,15,0,0,241
10,10_3,RUNNING,BoTorch,9.999934846187282,22,0,18,0,40,6,13,29,24,133,0,14,56,2,28,0
