trial_index,arm_name,trial_status,generation_method,rho_max,count_DGX-B300_0,count_DGX-B300_1,count_DGX-B300_2,count_DGX-B300_3,count_DGX-B300_4,count_DGX-B300_5,count_DGX-B300_6,count_DGX-B300_7,count_H200_0,count_H200_1,count_H200_2,count_H200_3,count_H200_4,count_H200_5,count_H200_6,count_H200_7
0,warm_start_0,RUNNING,Manual,0.008409469033079568,36,68,15,5,2,1,1,0,11,67,146,16,5,6,2,2
1,warm_start_1,RUNNING,Manual,0.013677653880420072,74,10,42,1,0,0,1,0,41,190,17,7,0,1,0,0
2,warm_start_2,RUNNING,Manual,0.013804984627805113,42,55,23,4,1,1,0,1,69,141,7,32,0,2,3,2
3,warm_start_3,RUNNING,Manual,0.013713364363789646,78,41,3,5,1,0,0,0,229,22,5,0,0,0,0,0
4,warm_start_4,RUNNING,Manual,0.013729903431357156,61,29,14,14,1,7,1,0,217,20,15,4,0,0,0,0
5,5_0,RUNNING,BoTorch,0.02952975697442773,31,97,0,0,0,0,0,0,0,0,251,0,0,5,0,0
5,5_1,RUNNING,BoTorch,0.04825467166503279,0,0,0,0,0,0,0,128,0,0,224,0,0,32,0,0
5,5_2,RUNNING,BoTorch,0.034723463714413344,0,0,0,0,0,98,30,0,0,0,256,0,0,0,0,0
5,5_3,RUNNING,BoTorch,0.007456932349698281,25,10,11,12,7,0,48,4,5,5,133,1,36,7,40,26
6,6_0,RUNNING,BoTorch,9.999960362367409,0,73,0,2,54,0,0,0,0,0,93,0,0,0,12,151
6,6_1,RUNNING,BoTorch,0.014078344800257585,1,0,4,100,23,0,0,0,0,0,86,16,0,8,146,0
6,6_2,RUNNING,BoTorch,0.01643162517240961,98,0,0,0,16,0,14,0,0,6,107,137,6,0,0,0
6,6_3,RUNNING,BoTorch,0.03690308327245592,0,0,0,0,128,0,0,0,0,0,84,0,90,82,0,0
7,7_0,RUNNING,BoTorch,0.03459857796087175,0,95,0,0,0,0,0,33,0,0,0,0,256,0,0,0
7,7_1,RUNNING,BoTorch,0.026267199402085613,0,0,128,0,0,0,0,0,0,8,123,0,55,0,15,54
7,7_2,RUNNING,BoTorch,0.06945744427969595,0,0,0,0,0,0,128,0,0,0,0,0,0,256,0,0
7,7_3,RUNNING,BoTorch,0.023424554083586874,0,122,0,0,0,0,0,6,0,0,106,0,56,0,83,11
8,8_0,RUNNING,BoTorch,10.000095788290425,42,0,23,0,0,0,63,0,0,53,99,0,0,0,105,0
8,8_1,RUNNING,BoTorch,10.000100561447574,44,31,22,18,0,0,14,0,0,0,87,0,0,0,0,169
8,8_2,RUNNING,BoTorch,10.000083454875098,31,0,0,51,0,0,47,0,78,62,106,0,0,11,0,0
8,8_3,RUNNING,BoTorch,0.018429045651538425,34,0,0,0,7,87,0,0,0,3,79,0,0,0,174,0
9,9_0,RUNNING,BoTorch,9.999793730966111,43,0,18,27,0,0,41,0,0,64,118,0,0,8,66,0
9,9_1,RUNNING,BoTorch,10.000024604920114,44,22,0,29,0,0,34,0,0,34,71,0,0,11,0,140
9,9_2,RUNNING,BoTorch,0.04771524851050348,0,0,0,0,0,0,128,0,0,137,119,0,0,0,0,0
9,9_3,RUNNING,BoTorch,0.018292152339203845,13,0,56,0,0,0,59,0,0,3,19,0,0,0,234,0
10,10_0,RUNNING,BoTorch,10.00006433670143,31,21,21,32,0,0,24,0,0,50,117,0,0,0,73,17
10,10_1,RUNNING,BoTorch,10.000025189189463,0,0,27,66,0,0,36,0,0,0,96,0,0,0,0,160
10,10_2,RUNNING,BoTorch,0.017931657990471694,90,29,0,9,0,0,0,0,0,58,132,0,0,0,66,0
10,10_3,RUNNING,BoTorch,0.020058960957462478,0,0,33,47,0,0,47,0,0,124,132,0,0,0,0,0
11,11_0,RUNNING,BoTorch,10.000035135329579,48,6,24,0,30,0,20,0,17,26,87,20,0,12,44,51
11,11_1,RUNNING,BoTorch,10.000074418164592,40,0,21,63,4,0,0,0,0,43,48,0,12,10,66,78
11,11_2,RUNNING,BoTorch,10.000126042090544,45,0,19,0,42,0,22,0,104,15,85,0,3,12,38,0
11,11_3,RUNNING,BoTorch,10.000029326550743,38,0,32,0,58,0,1,0,0,37,59,0,0,13,0,146
12,12_0,RUNNING,BoTorch,10.000071438875208,48,17,17,6,10,0,31,0,0,0,87,10,0,15,70,74
12,12_1,RUNNING,BoTorch,0.01992277731529775,100,0,17,0,0,0,11,0,0,0,0,0,0,17,0,239
12,12_2,RUNNING,BoTorch,10.000103978077455,44,40,13,0,0,0,31,0,57,38,107,41,0,13,1,0
12,12_3,RUNNING,BoTorch,9.99994957129004,59,0,20,0,50,0,0,0,0,0,29,28,0,15,184,0
13,13_0,RUNNING,BoTorch,9.999910288512107,42,32,0,21,0,0,33,0,35,21,104,49,31,17,0,0
13,13_1,RUNNING,BoTorch,0.013868281338402077,75,0,14,12,20,0,6,0,0,0,27,45,40,0,114,30
13,13_2,RUNNING,BoTorch,10.000096391124908,62,14,0,0,0,0,53,0,13,0,91,5,132,0,14,0
13,13_3,RUNNING,BoTorch,0.011967284534972034,29,18,10,53,0,0,18,0,0,0,94,68,17,0,0,77
14,14_0,RUNNING,BoTorch,9.99987268649247,35,32,12,0,16,0,33,0,29,41,100,0,17,0,70,0
14,14_1,RUNNING,BoTorch,0.017768948132512973,26,0,86,16,0,0,0,0,0,80,0,0,10,0,166,0
14,14_2,RUNNING,BoTorch,0.016068092442062473,0,48,0,0,34,0,46,0,0,0,113,0,28,0,109,6
14,14_3,RUNNING,BoTorch,0.015529674089502834,58,5,14,0,0,0,51,0,0,0,102,0,154,0,0,0
