trial_index,arm_name,trial_status,generation_method,rho_max,count_DGX-B300_0,count_DGX-B300_1,count_DGX-B300_2,count_DGX-B300_3,count_DGX-B300_4,count_DGX-B300_5,count_DGX-B300_6,count_DGX-B300_7,count_DGX-B300_8,count_DGX-B300_9,count_DGX-B300_10,count_DGX-B300_11,count_DGX-B300_12,count_DGX-B300_13,count_DGX-B300_14,count_DGX-B300_15,count_DGX-B300_16,count_DGX-B300_17,count_DGX-B300_18,count_DGX-B300_19,count_DGX-B300_20,count_DGX-B300_21,count_DGX-B300_22,count_DGX-B300_23,count_DGX-B300_24,count_DGX-B300_25,count_DGX-B300_26,count_DGX-B300_27,count_DGX-B300_28,count_DGX-B300_29,count_DGX-B300_30,count_DGX-B300_31,count_H200_0,count_H200_1,count_H200_2,count_H200_3,count_H200_4,count_H200_5,count_H200_6,count_H200_7,count_H200_8,count_H200_9,count_H200_10,count_H200_11,count_H200_12,count_H200_13,count_H200_14,count_H200_15,count_H200_16,count_H200_17,count_H200_18,count_H200_19,count_H200_20,count_H200_21,count_H200_22,count_H200_23,count_H200_24,count_H200_25,count_H200_26,count_H200_27,count_H200_28,count_H200_29,count_H200_30,count_H200_31
0,warm_start_0,RUNNING,Manual,0.0135910999751689,68,47,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,36,3,7,4,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,warm_start_1,RUNNING,Manual,0.006995178396651107,6,34,67,5,7,2,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,66,20,5,6,39,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,warm_start_2,RUNNING,Manual,0.01380390159145514,23,74,29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,38,9,8,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,warm_start_3,RUNNING,Manual,0.013868959946224696,80,19,20,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,32,8,27,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,warm_start_4,RUNNING,Manual,0.007085052628350246,8,95,7,5,6,3,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,135,5,28,7,18,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5_0,RUNNING,BoTorch,10.00012800568812,0,0,71,0,31,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,46,0,0,50,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5_1,RUNNING,BoTorch,0.034557492091057365,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0
5,5_2,RUNNING,BoTorch,9.999992557242212,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,25,0,0,19,0,7,1,0,0,0,0,1,13,62,8,0,1,2,0,0,0,0,4,4,0,2,0,1,0,6
5,5_3,RUNNING,BoTorch,0.034582555973980064,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6_0,RUNNING,BoTorch,0.0694816024878794,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6_1,RUNNING,BoTorch,0.0239788683989625,0,0,6,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,112,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
