trial index,timestamp
0,2025-06-05 10:19:34.747913
5,2025-06-05 10:19:52.331673
6,2025-06-05 10:19:59.697240
7,2025-06-05 10:20:08.018640
8,2025-06-05 10:20:21.535321
9,2025-06-05 10:20:35.777220
10,2025-06-05 10:20:57.337168
11,2025-06-05 10:21:06.801645
12,2025-06-05 10:21:18.808625
13,2025-06-05 10:21:35.164622
14,2025-06-05 10:21:58.227121
15,2025-06-05 10:22:11.379274
16,2025-06-05 10:22:23.422446
17,2025-06-05 10:22:45.752468
18,2025-06-05 10:23:03.783002
19,2025-06-05 10:23:27.817016
20,2025-06-05 10:23:55.536917
21,2025-06-05 10:24:21.796604
22,2025-06-05 10:24:50.038338
23,2025-06-05 10:25:14.249486
24,2025-06-05 10:25:33.011286
