trial_index,arm_name,trial_status,generation_method,rho_max,num_islands_DGX-B300,skew_exponent_DGX-B300,num_islands_H200,skew_exponent_H200
0,warm_start_0,RUNNING,Manual,0.0033905550035952803,16,2.9724169071324695,13,-1.04098795550696
1,warm_start_1,RUNNING,Manual,9.999932862973214,46,4.132572935541635,106,0.1591772741181705
2,warm_start_2,RUNNING,Manual,9.99979449802534,33,1.5873794735770916,39,0.6965706932509343
3,warm_start_3,RUNNING,Manual,0.002635919180443205,16,1.6485012620638537,31,-2.7771365296235673
4,warm_start_4,RUNNING,Manual,0.0016868387169251644,11,-0.5277125438877501,90,3.4485560555932366
5,5_0,RUNNING,BoTorch,0.013005931124394386,8,4.943353903055105,1,-5.0
5,5_1,RUNNING,BoTorch,0.012862023968431713,13,-5.0,1,5.0
5,5_2,RUNNING,BoTorch,0.0013496212352308067,13,5.0,128,-5.0
5,5_3,RUNNING,BoTorch,0.01314218990255588,6,-5.0,1,-5.0
6,6_0,RUNNING,BoTorch,0.0038519595605267724,1,5.0,128,5.0
6,6_1,RUNNING,BoTorch,0.012962266246081473,64,-5.0,1,-5.0
6,6_2,RUNNING,BoTorch,0.06302370963913682,1,5.0,1,5.0
6,6_3,RUNNING,BoTorch,0.00399418232212701,7,-5.0,128,-5.0
7,7_0,RUNNING,BoTorch,0.00192502498536713,5,5.0,128,5.0
7,7_1,RUNNING,BoTorch,9.999936990814453,61,5.0,128,5.0
7,7_2,RUNNING,BoTorch,9.999970682452389,64,5.0,128,5.0
7,7_3,RUNNING,BoTorch,0.01323493854168037,60,-5.0,1,-5.0
8,8_0,RUNNING,BoTorch,0.003952119002141319,1,5.0,128,-5.0
8,8_1,RUNNING,BoTorch,0.013092475606075394,12,-5.0,1,-2.599366982565121
8,8_2,RUNNING,BoTorch,0.003838279240789255,1,5.0,128,-1.6609553082670285
8,8_3,RUNNING,BoTorch,9.99983963705847,62,5.0,128,-5.0
9,9_0,RUNNING,BoTorch,0.004029084238353458,1,-5.0,128,5.0
9,9_1,RUNNING,BoTorch,0.00400110617049688,1,0.09633623533997397,128,-5.0
9,9_2,RUNNING,BoTorch,0.00560650608791076,13,2.373801435807531,1,5.0
9,9_3,RUNNING,BoTorch,9.99997811997076,62,-5.0,128,-5.0
10,10_0,RUNNING,BoTorch,0.0037858412216167448,1,5.0,52,5.0
10,10_1,RUNNING,BoTorch,0.00300639337105415,11,5.0,33,5.0
10,10_2,RUNNING,BoTorch,0.0030553814701545236,1,5.0,82,-5.0
10,10_3,RUNNING,BoTorch,0.00395075887213861,5,5.0,40,5.0
11,11_0,RUNNING,BoTorch,0.012996368136580073,62,-5.0,1,-5.0
11,11_1,RUNNING,BoTorch,0.00275978008905436,14,5.0,40,-5.0
11,11_2,RUNNING,BoTorch,0.012930981087299377,53,4.966525576494243,1,-5.0
