trial_index,arm_name,trial_status,generation_method,rho_max,num_islands_H200,skew_exponent_H200
0,warm_start_0,RUNNING,Manual,10.000107150465917,55,-0.37324853734472274
1,warm_start_1,RUNNING,Manual,0.015339426208633438,21,-1.3586010496139656
2,warm_start_2,RUNNING,Manual,10.000138893332059,37,1.74256852198054
3,warm_start_3,RUNNING,Manual,0.009343071098925881,38,-3.102895316462128
4,warm_start_4,RUNNING,Manual,0.008098631323631757,42,-1.5434699343069234
5,5_0,RUNNING,BoTorch,0.022010615798133217,15,-2.1449784263291964
5,5_1,RUNNING,BoTorch,9.999941349051774,64,-2.523529953716289
5,5_10,RUNNING,BoTorch,0.00997503452538426,34,-2.2632193612609903
5,5_11,RUNNING,BoTorch,9.999805955181422,64,-3.8008732753759227
5,5_12,RUNNING,BoTorch,10.000078581244562,64,-4.432065167083972
5,5_13,RUNNING,BoTorch,0.007947282035905287,46,-5.0
5,5_14,RUNNING,BoTorch,0.01697953485157993,20,-2.2721101426840797
5,5_15,RUNNING,BoTorch,10.00012391276821,42,-1.34636825845769
5,5_2,RUNNING,BoTorch,9.99996146412184,62,-4.8084626081974235
5,5_3,RUNNING,BoTorch,9.999999982723331,1,-2.2973956053367215
5,5_4,RUNNING,BoTorch,9.999939626499186,1,-4.641804683800452
5,5_5,RUNNING,BoTorch,0.09911747905991905,4,5.0
5,5_6,RUNNING,BoTorch,10.000221881915037,64,5.0
5,5_7,RUNNING,BoTorch,9.999942143793303,1,3.871260175125908
5,5_8,RUNNING,BoTorch,10.000148921528272,1,-3.972667473317232
5,5_9,RUNNING,BoTorch,9.999961242135102,64,4.217257210228225
6,6_0,RUNNING,BoTorch,0.008301378439481054,41,-1.709254302020923
6,6_1,RUNNING,BoTorch,10.000080184160256,34,-1.6628182715446422
6,6_10,RUNNING,BoTorch,10.000050218144498,25,-1.666744878040022
6,6_11,RUNNING,BoTorch,10.0000384016353,31,-1.538478861159941
6,6_12,RUNNING,BoTorch,0.011509768718909508,30,-2.92843337805537
6,6_13,RUNNING,BoTorch,0.006600813582402717,53,-1.6683540915498107
6,6_14,RUNNING,BoTorch,0.02686985295128753,34,-1.8247811803399083
6,6_15,RUNNING,BoTorch,0.02957594741771278,11,-1.4388879420396605
6,6_2,RUNNING,BoTorch,0.00727714136619572,47,-1.6899894979940402
6,6_3,RUNNING,BoTorch,0.0139831330252325,24,-2.055398293982306
6,6_4,RUNNING,BoTorch,0.008240312085931716,42,-1.8074702996550647
6,6_5,RUNNING,BoTorch,0.019195979840723458,17,-1.6121304340282836
6,6_6,RUNNING,BoTorch,10.000159546108037,34,-2.5730069112136045
6,6_7,RUNNING,BoTorch,0.009120458156415774,37,-1.7586677044984995
6,6_8,RUNNING,BoTorch,0.014288783253845415,36,-5.0
6,6_9,RUNNING,BoTorch,0.024777827455114063,13,-1.2005383764797901
7,7_0,RUNNING,BoTorch,0.009674197650185535,35,-2.0094779647681054
7,7_1,RUNNING,BoTorch,0.010249336472181639,33,-2.042947529824008
7,7_10,RUNNING,BoTorch,0.014442947313480151,28,-2.0912300572117046
7,7_11,RUNNING,BoTorch,0.0250790767059048,13,-1.7864984261645793
7,7_12,RUNNING,BoTorch,0.012167890855693158,28,-2.1325784367366527
7,7_13,RUNNING,BoTorch,0.009102635461594403,37,-2.0790657236764862
7,7_14,RUNNING,BoTorch,0.010713784464824055,33,-3.188583395332585
7,7_15,RUNNING,BoTorch,0.008744790831258804,41,-5.0
7,7_2,RUNNING,BoTorch,0.009491789581544379,36,-2.016805006135561
7,7_3,RUNNING,BoTorch,0.00784428132170667,44,-1.6569378597444775
7,7_4,RUNNING,BoTorch,0.010898003954287626,31,-2.063427236891877
7,7_5,RUNNING,BoTorch,0.009868841553002933,34,-2.029194053428669
7,7_6,RUNNING,BoTorch,0.017425999602471987,19,-1.9515214610102676
7,7_7,RUNNING,BoTorch,0.018906374233341332,17,-1.2795107992450145
7,7_8,RUNNING,BoTorch,0.01393810806251944,24,-2.3569131822493326
7,7_9,RUNNING,BoTorch,0.011661385221398356,29,-2.207017293563058
8,8_0,RUNNING,BoTorch,10.000056686045003,50,-1.6963476455930317
8,8_1,RUNNING,BoTorch,0.011715502840061353,30,-3.146300991340633
8,8_10,RUNNING,BoTorch,0.009566482758907308,38,-4.785136534427522
8,8_11,RUNNING,BoTorch,10.000073830025519,44,-4.802913749041809
8,8_12,RUNNING,BoTorch,0.016098231370964063,20,-1.0858185019517332
8,8_13,RUNNING,BoTorch,10.000027799693108,48,-1.9513650589317917
8,8_14,RUNNING,BoTorch,0.012510623110941407,27,-2.7590831692988815
