trial_index,arm_name,trial_status,generation_method,rho_max,num_islands_H200,skew_exponent_H200
0,warm_start_0,RUNNING,Manual,0.03261590748979811,10,0.18007014457311232
1,warm_start_1,RUNNING,Manual,9.999938255405912,46,-0.21529146119575415
2,warm_start_2,RUNNING,Manual,0.00715267472481837,59,-3.5461996955664943
3,warm_start_3,RUNNING,Manual,0.05804353333525247,6,3.355452027217318
4,warm_start_4,RUNNING,Manual,9.99991230999782,22,-0.35412917537512456
5,5_0,RUNNING,BoTorch,0.07499433435059084,5,-2.9811732173797716
5,5_1,RUNNING,BoTorch,9.99989834020634,64,-5.0
5,5_10,RUNNING,BoTorch,0.010709887935307987,34,-5.0
5,5_11,RUNNING,BoTorch,9.999968393608412,63,5.0
5,5_12,RUNNING,BoTorch,0.025152372857561334,13,5.0
5,5_13,RUNNING,BoTorch,0.08139670637456005,5,-5.0
5,5_14,RUNNING,BoTorch,10.000078689236414,1,5.0
5,5_15,RUNNING,BoTorch,10.000068756663373,1,-5.0
5,5_2,RUNNING,BoTorch,0.033412099036281104,10,5.0
5,5_3,RUNNING,BoTorch,10.00014532005226,61,3.452380508544004
5,5_4,RUNNING,BoTorch,0.006423078053051394,56,-5.0
5,5_5,RUNNING,BoTorch,10.000202684032695,64,0.816107671576379
5,5_6,RUNNING,BoTorch,9.999913899710757,1,-1.0594771459775199
5,5_7,RUNNING,BoTorch,0.04152179429495003,9,-5.0
5,5_8,RUNNING,BoTorch,10.000012447250189,56,5.0
5,5_9,RUNNING,BoTorch,10.00001069166648,34,5.0
6,6_0,RUNNING,BoTorch,10.000015353609609,58,-5.0
6,6_1,RUNNING,BoTorch,0.009597797062065346,37,-5.0
6,6_10,RUNNING,BoTorch,10.000017356122864,39,-1.535763196528406
6,6_11,RUNNING,BoTorch,0.02106585576701051,16,-2.364122329690009
6,6_12,RUNNING,BoTorch,0.013311663337973302,27,-5.0
6,6_13,RUNNING,BoTorch,10.000013132890277,40,-4.927276181682894
6,6_14,RUNNING,BoTorch,0.010734121693809051,33,-3.247651935796794
6,6_15,RUNNING,BoTorch,0.011393544035217187,28,3.5006370287000377
6,6_2,RUNNING,BoTorch,0.011545464547193155,31,-5.0
6,6_3,RUNNING,BoTorch,0.049072051031428525,7,-2.3672944515827363
6,6_4,RUNNING,BoTorch,0.024641749243889014,15,-5.0
6,6_5,RUNNING,BoTorch,0.009371244614619063,39,-5.0
6,6_6,RUNNING,BoTorch,0.018907407974119814,17,5.0
6,6_7,RUNNING,BoTorch,0.027976197622680294,13,-5.0
6,6_8,RUNNING,BoTorch,0.012492694922557942,29,-5.0
6,6_9,RUNNING,BoTorch,0.027419748713102605,12,-1.9400912229707281
7,7_0,RUNNING,BoTorch,0.006626503863295092,55,-5.0
7,7_1,RUNNING,BoTorch,0.055054383755613896,7,-4.999999999999971
7,7_10,RUNNING,BoTorch,0.0333149766657302,10,-2.1233053836478213
7,7_11,RUNNING,BoTorch,0.03376390543355921,11,-4.800370849195826
7,7_12,RUNNING,BoTorch,0.01291513291711315,28,-4.690250959814222
7,7_13,RUNNING,BoTorch,0.05442555587493834,7,-4.756968904440711
7,7_14,RUNNING,BoTorch,10.000023823453088,54,-4.974774646264253
7,7_15,RUNNING,BoTorch,0.02502031058406293,13,-1.6563246902215492
7,7_2,RUNNING,BoTorch,0.009457986565935059,38,-5.0
7,7_3,RUNNING,BoTorch,0.05906832235419878,6,-2.673729783679383
7,7_4,RUNNING,BoTorch,0.023605365008073816,14,-2.152499696196405
7,7_5,RUNNING,BoTorch,0.00654869104137257,55,-4.753381272515444
7,7_6,RUNNING,BoTorch,0.03001615351920001,11,4.773919426407925
7,7_7,RUNNING,BoTorch,0.026177600020361687,14,-4.712101541084864
7,7_8,RUNNING,BoTorch,0.021643354725617635,15,4.901505247961838
7,7_9,RUNNING,BoTorch,0.010893168070301218,33,-4.742779251828745
8,8_0,RUNNING,BoTorch,0.014031631887047027,36,-4.980872552768577
8,8_1,RUNNING,BoTorch,0.010393796991733473,35,-4.828135353488371
8,8_10,RUNNING,BoTorch,0.04136284491803641,9,-4.659667930889306
8,8_11,RUNNING,BoTorch,0.08014393970913462,5,-4.672612792479379
8,8_12,RUNNING,BoTorch,0.023506952875791916,14,-1.8651035848787156
8,8_13,RUNNING,BoTorch,0.014205535918317094,36,-4.752368450878869
8,8_14,RUNNING,BoTorch,0.09608794302194199,4,-2.7104234039752533
8,8_15,RUNNING,BoTorch,9.999959689793767,29,3.2089255204287026
8,8_2,RUNNING,BoTorch,0.011660250973377764,31,-4.716552564357171
8,8_3,RUNNING,BoTorch,0.03801032501152715,9,-2.4386442608595935
8,8_4,RUNNING,BoTorch,0.02075897695816187,16,-2.042273004475878
8,8_5,RUNNING,BoTorch,0.027808569025707875,12,-2.2983575454130016
8,8_6,RUNNING,BoTorch,0.006430123559245714,56,-4.499684485929206
8,8_7,RUNNING,BoTorch,0.04248165111105756,8,-2.0339384252232184
8,8_8,RUNNING,BoTorch,0.023995557934722085,14,-2.49801830282145
8,8_9,RUNNING,BoTorch,0.03281522801113371,10,-1.7736397440799916
9,9_0,RUNNING,BoTorch,0.011900068111842873,27,3.5479040619604105
9,9_1,RUNNING,BoTorch,9.999821163916405,60,-4.951989975450861
9,9_10,RUNNING,BoTorch,0.012717109955850927,25,2.704655309262682
9,9_11,RUNNING,BoTorch,0.011946354019561527,27,2.943553703837926
9,9_12,RUNNING,BoTorch,10.000088904947193,60,3.770703542299186
9,9_13,RUNNING,BoTorch,9.99997134755547,49,-2.6138142539685645
